frame,time,sh_x,sh_y,el_x,el_y,wr_x,wr_y,hip_x,hip_y,opp_sh_x,opp_sh_y,hands_used,wrist_forward_px,wrist_forward_cm,shoulder_elevation_px,shoulder_elevation_cm,mid_shoulder_x,trunk_x_displacement_px,trunk_x_displacement_cm,elbow_flexion_angle,speed_px_s
24,0.7978666666666666,677.3425291660341,667.3117244672637,733.5626614215151,874.008232009244,492.63340062605073,850.2005800012803,564.3866770363727,1086.1324206160805,431.4264407396624,709.7176998267371,1.0,-16.885544136163503,-2.3524767701983547,7.939372196671229,1.1061052289471152,554.3844849528482,-12.6912066895012,-1.7681259592278051,69.14059791490855,39.14180731759403
25,0.831111111111111,674.7634416344389,666.3661425941657,732.1451177515115,871.7194631268528,491.3633753986477,850.0637462840036,563.794319947688,1084.9082916003051,430.1703034402938,709.5194109463155,1.0,-18.155569363566542,-2.5294153882813104,8.884954069769265,1.2378427301402029,552.4668725373664,-14.608819104983013,-2.0352857632167973,69.24878582521217,21.396118201612374
26,0.8643555555555555,672.1796186175965,665.2902658126578,728.304319031011,868.4807757527631,491.15336175522134,850.2615630193773,562.3046750650956,1084.7848503540054,427.8687363123831,709.3832485742248,1.0,-18.365583006992892,-2.558674274675567,9.960830851277137,1.3877327849517913,550.0241774649897,-17.05151417735965,-2.3755995468950557,70.16579462354075,21.443190561409025
27,0.8976,670.8403462451282,664.2536725088082,725.8995017580392,866.7162517733843,492.33899060851763,849.8534268501126,561.6102552401622,1085.0036831481907,425.2927945545807,709.7187375391534,1.0,-17.1799541536966,-2.3934936732709056,10.997424155126737,1.5321499057614618,548.0665703998545,-19.00912124249487,-2.6483313646422757,70.65695376857242,33.961072825024544
28,0.9308444444444444,670.0469463834144,664.1152099907483,726.093492679111,866.7210076978083,493.79763975339336,849.2898693335276,561.9842293240524,1084.9605122688974,423.681446973372,710.0585739616289,1.0,-15.721305008820877,-2.19027616357628,11.135886673186633,1.5514403624179023,546.8641966783932,-20.21149496395617,-2.8158448439844532,70.2456883625561,34.85193884804384
29,0.9640888888888889,668.8596701748943,664.4538621737075,726.2713858896508,867.0389741763204,494.24723458251526,850.0824246434872,561.9231839409268,1084.870028000198,423.3466908631208,709.6414053150214,1.0,-15.271710179698971,-2.1276390709850257,10.797234490227424,1.50425968602606,546.1031805190075,-20.97251112334186,-2.9218688383706457,69.9977067922229,31.22974734005224
30,0.9973333333333333,667.5061743735358,663.9578946921357,726.1930334342205,867.1798116966065,494.18543797988286,851.4979995322738,561.599389070483,1084.6632449338701,423.3770220056357,708.8194771724641,1.0,-15.33350678233137,-2.1362485105741564,11.293201971799249,1.5733573692136975,545.4415981895858,-21.634093452763636,-3.014039813080618,70.02538376820337,27.91003892440718
31,1.0305777777777778,666.7091478633774,662.9028016586628,726.7616183082541,867.1921773566824,494.731536672439,851.9351465060178,561.9729189868523,1084.9673230298372,423.1490560713485,708.5069706715772,1.0,-14.787408089775226,-2.0601665982523243,12.34829500527212,1.72035185346767,544.929101967363,-22.146589674986444,-3.0854402635411677,69.85684370796352,19.506148044976914
32,1.0638222222222222,666.7060483139558,662.4844067095192,727.2759038437133,866.9648196399577,495.3669467846823,851.9632316970758,562.0049211517726,1087.4476421440281,423.0034323228182,708.6146716810464,1.0,-14.151997977531948,-1.971641910119824,12.76668995441571,1.7786422106330417,544.854740318387,-22.220951323962367,-3.0958002525589245,69.79884215292974,16.838150252192634
33,1.0970666666666666,666.9231621624544,662.5286715820868,728.0697939226791,866.7099860080459,495.3569828718182,852.7270235460923,561.4070636760255,1091.7256207373082,423.126582209538,708.4691657887195,1.0,-14.161961890396014,-1.973030072287651,12.7224250818482,1.7724752737779932,545.0248721859962,-22.050819456353224,-3.072097654455272,69.8899180733375,14.252103288722921
34,1.130311111111111,666.9530799052563,662.4525070525616,729.8838418519664,865.958877299564,495.32439659603773,853.1042807762404,562.4839344168636,1094.7954137247332,423.0754781933296,708.2107729492977,1.0,-14.194548166176503,-1.977569958961288,12.798589611373359,1.783086438273266,545.014279049293,-22.06141259305639,-3.073573479445973,69.67984582072728,5.521000343361452
35,1.1635555555555555,666.9540038732023,662.3137513547631,731.5546885992092,864.0554563177355,495.30705951898847,852.4697805964497,565.0570504300658,1095.1984970416272,422.8518471732152,708.3366662995402,1.0,-14.211885243225765,-1.9799853428359586,12.93734530917186,1.8024177404315749,544.9029255232088,-22.172766119140647,-3.0890871390165793,69.4366057417678,17.34192085609706
36,1.1967999999999999,666.845776613998,661.8063139542157,732.3204192553158,861.8756431068955,494.3030215511609,852.9499539079369,566.1374202745199,1094.5726050176115,422.9143365873952,708.6697113993291,1.0,-15.215923211053337,-2.1198668874675537,13.44478270971922,1.8731134010209722,544.8800566006967,-22.195635041652736,-3.092273213953539,69.73121605781054,52.35917830519577
