frame,time,sh_x,sh_y,el_x,el_y,wr_x,wr_y,hip_x,hip_y,opp_sh_x,opp_sh_y,hands_used,wrist_forward_px,wrist_forward_cm,shoulder_elevation_px,shoulder_elevation_cm,mid_shoulder_x,trunk_x_displacement_px,trunk_x_displacement_cm,elbow_flexion_angle,speed_px_s
0,0.0,781.2641321705134,672.8536354047887,790.2172729246361,841.6952968305175,577.8791468469547,850.4168749657482,678.9418517495832,1067.8593819002504,516.8123978459124,713.1657277015311,1.0,5.011987668280312,0.6841320285038948,-0.8262915757088649,-0.11278809311582876,649.0382650082129,0.2792080716315013,0.038111662889517825,89.31667367646551,30.510052025784738
1,0.03319951338199514,781.2390166795244,672.8180727945166,795.6161846777039,846.9359462954417,577.2060928178587,851.1118152214019,676.9560660917755,1071.7288000284207,516.7946254427544,712.5804500477525,1.0,4.338933639184347,0.5922607293919135,-0.790728965436756,-0.10793382724076941,649.0168210611394,0.2577641245579798,0.03518458246125091,86.375039010024,60.556635464921975
2,0.06639902676399027,780.6801711588657,672.5455400359854,798.0570897439686,848.1589412308178,574.2556879565437,851.2248325082453,678.9127930401462,1071.999397624191,516.8156317708538,712.3712822666404,1.0,1.3885287778693964,0.1895329901651098,-0.5181962069054862,-0.07073333887808896,648.7479014648598,-0.011155471721622234,-0.001522712345469486,85.13384179976522,80.91980460463685
3,0.0995985401459854,780.3497546054953,672.1798627918873,798.697212960102,848.0300279808014,571.4272066104608,850.9450663518483,680.4677292388328,1071.094842931991,516.8726879514466,712.4563101330682,1.0,-1.4399525682135845,-0.19655229354930975,-0.1525189628074486,-0.02081870792921794,648.6112212784709,-0.14783565811046628,-0.020179440845077716,84.77840735258773,50.913049583401104
4,0.13279805352798055,780.4557010628215,671.9084316975379,799.728057012393,848.6495301037442,570.9457112181528,850.9264071869869,679.904619541217,1070.6307670768938,516.9101091869575,712.5612013188833,1.0,-1.9214479605215047,-0.26227600263575296,0.11891213154194702,0.01623140421521171,648.6829051248894,-0.0761518116919433,-0.010394657141072204,84.34708881261167,9.504873626294433
5,0.16599756690997566,780.4648517536107,671.7268418041888,801.0535979487659,849.1119146815661,571.6447138200208,850.9820303987317,680.0745428469929,1069.5812810967725,516.9119145646628,712.6313540498415,1.0,-1.2224453586535446,-0.1668627455417847,0.30050202489110234,0.04101826929051809,648.6883831591367,-0.07067377744465375,-0.009646910153279257,83.84647126968859,9.832204845200431
6,0.1991970802919708,780.4444007220587,671.631816527806,802.1500568738547,850.0063139411423,572.0884857729225,850.8720746717802,680.6353589786991,1068.5912419023443,516.9051297880433,712.6952444969058,1.0,-0.7786734057518743,-0.10628825365842304,0.39552730127388713,0.05398913821390546,648.6747652550509,-0.08429168153043065,-0.011505742409618516,83.27763626744297,15.614481808103557
7,0.23239659367396595,780.5262643393381,671.6138706936867,803.102046565386,851.5441087464945,572.0831693241528,850.5028924317718,680.4157704873919,1068.297925841599,516.8958703043959,712.6483656001935,1.0,-0.7839898545215647,-0.10701394436677494,0.4134731353931329,0.05643872921687106,648.711067321867,-0.04798961471442453,-0.00655054134899029,82.59025689929882,16.045365734541296
8,0.2655961070559611,780.502733628956,671.5625612523388,803.5608448015466,852.2294410417389,571.4026573442108,849.8092619518088,680.1131842238598,1068.05421114727,516.9307599742019,712.4588129776471,1.0,-1.46450183446359,-0.1999032473882806,0.46478257674107226,0.06344242406091914,648.7167468015789,-0.04231013500248082,-0.005775297227627168,82.12951844314074,41.532671672779536
9,0.2987956204379562,780.3531275685134,671.4328052880619,803.5806413394905,851.9830857485116,569.7387200754657,850.4941047056899,679.7894419989941,1067.7724615090615,517.0518582127017,712.2668366836806,1.0,-3.1284391032086205,-0.4270292609206231,0.5945385410179824,0.08115400216655719,648.7024928906076,-0.0565640459738006,-0.00772094387968065,82.30442799471271,56.64197166584151
