frame,time,fps,frame_width_px,frame_height_px,tracked_x,tracked_y,marker_detected,marker_radius,marker_score,pose_wrist_x,pose_wrist_y
0,0.0,60.02002893067765,1920,1080,1091.3077392578125,735.0,1.0,20.899503707885742,0.6251455732736214,,
1,0.016661104931405265,60.02002893067765,1920,1080,1091.1328125,733.6360473632812,1.0,20.920162200927734,0.6071528069832864,,
2,0.03332220986281053,60.02002893067765,1920,1080,1091.4219970703125,731.7499389648438,1.0,20.892681121826172,0.5975159753643055,,
3,0.04998331479421579,60.02002893067765,1920,1080,1091.25,730.8137817382812,1.0,20.74570655822754,0.6128171395230667,,
4,0.06664441972562106,60.02002893067765,1920,1080,1091.187255859375,729.53271484375,1.0,20.581953048706055,0.5969402787571993,,
5,0.08330552465702633,60.02002893067765,1920,1080,1091.2628173828125,728.4296264648438,1.0,20.725215911865234,0.6140348272848631,,
6,0.09996662958843158,60.02002893067765,1920,1080,1091.2969970703125,727.088623046875,1.0,20.899503707885742,0.6021897050188454,,
7,0.11662773451983685,60.02002893067765,1920,1080,1091.312255859375,725.9415283203125,1.0,20.899503707885742,0.6171755424438841,,
8,0.13328883945124212,60.02002893067765,1920,1080,1091.192626953125,724.584716796875,1.0,20.920162200927734,0.6087217845592537,,
9,0.1499499443826474,60.02002893067765,1920,1080,1091.143310546875,723.1104125976562,1.0,20.74570655822754,0.623073493322616,,
10,0.16661104931405266,60.02002893067765,1920,1080,1091.22412109375,721.5866088867188,1.0,21.084218978881836,0.6137702762692078,,
11,0.18327215424545792,60.02002893067765,1920,1080,1091.2823486328125,720.05224609375,1.0,20.899503707885742,0.6187333782336489,,
12,0.19993325917686317,60.02002893067765,1920,1080,1091.434326171875,718.2026977539062,1.0,21.07733726501465,0.6170743247145366,,
13,0.21659436410826843,60.02002893067765,1920,1080,1091.5081787109375,716.8392333984375,1.0,21.07733726501465,0.6352963530848039,,
14,0.2332554690396737,60.02002893067765,1920,1080,1091.5321044921875,715.4359130859375,1.0,20.892681121826172,0.6526056396356746,,
15,0.24991657397107897,60.02002893067765,1920,1080,1091.531005859375,714.6329345703125,1.0,20.718448638916016,0.6479281290911021,,
16,0.26657767890248424,60.02002893067765,1920,1080,1091.716064453125,713.1693725585938,1.0,20.433887481689453,0.6707209401754749,,
17,0.2832387838338895,60.02002893067765,1920,1080,1091.9349365234375,711.3101196289062,1.0,20.61562728881836,0.6555434867477237,,
18,0.2998998887652948,60.02002893067765,1920,1080,1092.2637939453125,709.51904296875,1.0,20.722637176513672,0.6668534606398542,,
19,0.31656099369670004,60.02002893067765,1920,1080,1092.87939453125,707.947265625,1.0,21.10505485534668,0.6422268107762704,,
20,0.3332220986281053,60.02002893067765,1920,1080,1093.4256591796875,706.11572265625,1.0,21.07733726501465,0.6522878052009641,,
21,0.3498832035595106,60.02002893067765,1920,1080,1093.6427001953125,705.1063232421875,1.0,20.892681121826172,0.6556122924239581,,
22,0.36654430849091585,60.02002893067765,1920,1080,1093.9991455078125,703.5770874023438,1.0,20.42679786682129,0.6597845153423667,,
23,0.38320541342232106,60.02002893067765,1920,1080,1094.4482421875,701.4002685546875,1.0,20.718448638916016,0.6429148303369867,,
24,0.39986651835372633,60.02002893067765,1920,1080,1095.1270751953125,699.2177124023438,1.0,21.279088973999023,0.6569854639452466,,
25,0.4165276232851316,60.02002893067765,1920,1080,1095.431884765625,697.7310180664062,1.0,20.899503707885742,0.6649237646210705,,
26,0.43318872821653687,60.02002893067765,1920,1080,1095.627197265625,695.994384765625,1.0,21.07733726501465,0.6964313313076901,,
27,0.44984983314794214,60.02002893067765,1920,1080,1095.658935546875,694.4116821289062,1.0,21.272146224975586,0.6909861170346343,,
28,0.4665109380793474,60.02002893067765,1920,1080,1095.622802734375,692.5868530273438,1.0,21.272146224975586,0.6548099086179485,,
29,0.48317204301075267,60.02002893067765,1920,1080,1095.2762451171875,691.2667846679688,1.0,20.46258544921875,0.717403770424068,,
30,0.49983314794215794,60.02002893067765,1920,1080,1095.2467041015625,689.578857421875,1.0,21.084218978881836,0.7133564979393501,,
31,0.5164942528735632,60.02002893067765,1920,1080,1095.382568359375,688.3099975585938,1.0,21.272146224975586,0.6720313869713552,,
32,0.5331553578049685,60.02002893067765,1920,1080,1095.144287109375,687.2708740234375,1.0,20.81475830078125,0.7053060783620535,,
33,0.5498164627363737,60.02002893067765,1920,1080,1095.1895751953125,686.3253173828125,1.0,21.483837127685547,0.6727017191334138,,
34,0.566477567667779,60.02002893067765,1920,1080,1094.912353515625,685.7186279296875,1.0,20.821916580200195,0.7023646147147874,,
35,0.5831386725991843,60.02002893067765,1920,1080,1094.6458740234375,685.5862426757812,1.0,20.64413070678711,0.6671550942155363,,
36,0.5997997775305896,60.02002893067765,1920,1080,1094.6578369140625,685.0192260742188,1.0,20.821916580200195,0.7059572725905664,,
37,0.6164608824619948,60.02002893067765,1920,1080,1095.0146484375,684.4895629882812,1.0,21.483837127685547,0.6594851268025111,,
38,0.6331219873934001,60.02002893067765,1920,1080,1095.3663330078125,683.9821166992188,1.0,21.476831436157227,0.6896245082525025,,
39,0.6497830923248054,60.02002893067765,1920,1080,1095.3914794921875,683.8064575195312,1.0,21.279088973999023,0.7012147289755294,,
40,0.6664441972562106,60.02002893067765,1920,1080,1095.3759765625,683.4799194335938,1.0,21.084218978881836,0.7160399692185464,,
41,0.6831053021876159,60.02002893067765,1920,1080,1095.478271484375,683.691162109375,1.0,21.07733726501465,0.6927092744337232,,
42,0.6997664071190212,60.02002893067765,1920,1080,1095.521240234375,683.8587036132812,1.0,21.07733726501465,0.707552463584781,,
43,0.7164275120504264,60.02002893067765,1920,1080,1095.5301513671875,684.081298828125,1.0,20.655853271484375,0.7062005692667612,,
44,0.7330886169818317,60.02002893067765,1920,1080,1095.7001953125,683.774658203125,1.0,20.62394142150879,0.6946670974095073,,
45,0.749749721913237,60.02002893067765,1920,1080,1095.928466796875,683.5701293945312,1.0,20.81475830078125,0.6883349892651943,,
46,0.7664108268446421,60.02002893067765,1920,1080,1096.237548828125,683.4762573242188,1.0,20.725215911865234,0.7085715785850106,,
47,0.7830719317760474,60.02002893067765,1920,1080,1096.488037109375,683.248779296875,1.0,20.655853271484375,0.664864048231831,,
48,0.7997330367074527,60.02002893067765,1920,1080,1096.61474609375,682.70703125,1.0,20.843584060668945,0.6857144245852508,,
49,0.8163941416388579,60.02002893067765,1920,1080,1096.6583251953125,682.7737426757812,1.0,20.64413070678711,0.7122444238731795,,
