label,bout,start_s,end_s,movement_time_s,displacement_px,path_length_px,straightness,peak_speed_px_s,mean_speed_px_s,sparc,ldj
H,1,0.0,1.0115189873417723,1.0115189873417723,374.3835440939963,377.4615073269941,0.9918456235318021,529.4616492405273,370.2841498453038,-2.6947267929270127,-6.862720659681686
S,1,0.3332220986281053,0.6664441972562106,0.3332220986281053,22.571480778569967,23.94995658262199,0.9424434946553414,117.86510693115413,69.56072742986362,-11.663685057788875,-6.062988098353882
S,2,0.8663774564330737,1.2995661846496107,0.433188728216537,30.45071921477926,32.206918527339155,0.9454713647606762,107.18344628001967,69.8140299139304,-11.478040117372917,-6.679539876642424
S,3,1.5494827586206896,1.832721542454579,0.28323878383388945,5.770724988896088,9.935945850609903,0.5807927172370672,51.18045270315287,26.06287261675272,-10.17647115848397,-6.616882962817703
S,4,3.4821709306637003,3.9320207638116424,0.44984983314794214,42.059197329483126,45.796277964558065,0.9183977213613935,204.54387054621282,95.38735271041195,-6.809234842780654,-7.300338293009793
S,5,4.165276232851316,4.565142751205043,0.39986651835372644,24.19477099938808,29.733917743891716,0.8137094885304325,125.05198687641051,61.00945761203791,-5.1753093539786725,-6.89037762090717
S,6,6.181269929551354,6.547814238042269,0.3665443084909157,30.980006042969666,33.1658150454377,0.9340945187243722,188.40040971256641,83.53884075797184,-5.495790189391583,-7.247027828391048
S,7,7.014325176121616,7.414191694475343,0.39986651835372644,27.58918458425811,32.13464675243527,0.8585494901127957,127.50135075391242,73.20354683421665,-7.461872088435333,-6.329902306605519
S,8,7.947347052280311,8.263908045977011,0.3165609936967,8.454539039056,12.417028166510113,0.6808826496712541,47.64229762740409,29.183845029852147,-9.238253729377835,-6.225245499710506
S,9,8.280569150908416,8.597130144605117,0.3165609936967009,9.29261634342064,15.735356216219042,0.5905564650543075,54.68932536255723,34.69005503585646,-9.263253726982892,-6.1842545937437885
S,10,8.613791249536522,8.930352243233221,0.3165609936966991,16.755362881282288,21.371048079310064,0.7840215799946492,97.24770738592461,56.75945818916432,-9.302445671471126,-5.963438252868186
S,11,9.196929922135705,9.763407489803486,0.5664775676677802,14.508618128546908,26.506424015127006,0.5473623345143409,112.3538550398286,39.66405745296379,-8.773238363929707,-9.977809725378611
S,12,10.646446051167963,10.996329254727474,0.34988320355951075,1.5185789443651472,4.4387793238607784,0.3421163418064027,19.617769333821844,10.449344581703937,-11.06944890137489,-9.430424348651961
S,13,11.57946792732666,11.862706711160548,0.28323878383388923,23.13513841083117,25.529262741583402,0.9062203889322445,141.38886372806496,81.4406339449433,-6.929894960937585,-5.956491833729274
S,14,13.012322951427512,13.295561735261401,0.28323878383388923,16.091411726054915,21.460705494009368,0.7498081426329036,102.8035487516114,57.274575823026666,-6.909345309722683,-6.25807784443143
S,15,13.995328142380423,14.278566926214312,0.28323878383388923,0.976500022796991,11.887487544517533,0.08214519839790278,34.09884043989809,22.45543817605895,-10.05793831960091,-7.0130533077744985
S,16,14.295228031145717,14.578466814979606,0.28323878383388923,2.0,7.684379735209727,0.26026824140874066,27.597933986578866,17.525424939574965,-10.066546883170336,-7.232621120204768
