condition,start_s,end_s,movement_time_s,peak_velocity_m_s,mean_velocity_m_s,displacement_m,ldj,sparc,peak_acc_m_s2
h,7.571243634000006,9.361243634000008,1.7900000000000018,0.18477547642346578,0.08949331219070628,0.15991731924242927,-12.455398688178008,-7.199749213028056,11.38460462600523
h,9.361243634000008,11.151243634000009,1.790000000000001,0.270970457494507,0.12475885140199051,0.22361513319570137,-10.540109484840013,-3.59320426329172,11.279952835511661
h,13.581243634000012,15.371243634000013,1.790000000000001,0.287123629511519,0.10968254263479058,0.19675484835682544,-11.484384151545328,-2.392068745412698,10.781858369964876
a,1.0964254650000007,2.886425465000002,1.7900000000000014,0.1406970863120834,0.07948722506232088,0.14225474702020785,-12.064612035489601,-7.884858227829379,10.94347338010391
a,2.2064254650000015,3.9964254650000033,1.7900000000000018,0.10454834749573737,0.07988103117161933,0.14297263733642368,-10.245771929811914,-6.828310908384928,10.561256908332648
a,8.186425465000006,9.976425465000009,1.7900000000000027,0.23287947818884938,0.09035081033564893,0.16169064950943926,-13.238945104888659,-7.353000273564217,11.18320546012358
a,12.526425465000012,14.316425465000012,1.790000000000001,0.11766102822937893,0.07228120206526041,0.12962389688555773,-12.271166680399663,-8.447570405253266,10.813599252139351
a,21.29642546500002,23.086425465000023,1.7900000000000027,0.1739196232762292,0.08093032607475449,0.14470443132784078,-12.93557143116653,-10.604194195061783,10.54626846322162
a,23.18642546500002,24.976425465000023,1.7900000000000027,0.11381258854284478,0.07426782050419824,0.13296042127671215,-12.806201240273161,-10.639122156528444,12.22927740246213
a,24.956425465000024,26.746425465000026,1.7900000000000027,0.23082709616132188,0.07987861403146483,0.14311612290657044,-12.333715322256817,-6.291802300132432,11.850325378039217
a,40.45642546500003,42.24642546500004,1.7900000000000063,0.13001748486570894,0.07627105172392565,0.1364575053609682,-10.8397586981167,-6.490379109015858,10.76840861297585
