frame,time,sh_x,sh_y,el_x,el_y,wr_x,wr_y,hip_x,hip_y,opp_sh_x,opp_sh_y,opp_hip_x,opp_hip_y,hands_used,speed_px_s,nvp_marker
0,0.0,205.77297984822812,746.8438745299701,70.50176202683055,1061.2048357006984,388.34680907367465,1075.2622503670584,71.57169765666757,1236.5654702462678,320.04001785989635,762.7837328733358,161.7033941906414,1219.2467765883964,1.0,208.29415968419337,0
1,0.016661104931405265,203.32209786804438,747.2967059261009,67.50998624012313,1061.7012042992628,384.9416925635388,1076.5750656428022,85.36297949704883,1263.0238057815168,318.8935919302712,766.1874022848956,176.46797670778977,1222.019377550234,1.0,146.43168792834595,0
2,0.03332220986281053,201.2119270939297,747.6507567971378,65.20852077323958,1062.1482320580203,382.6074164034045,1077.5097618549346,95.85464931307035,1282.4146461101457,318.24395578376647,769.3831200829896,188.09397721310035,1224.5891883590168,1.0,94.38447489916202,0
3,0.04998331479421579,199.5687081388923,747.8887827435399,63.55944751052821,1062.5850479549674,381.83769159481477,1077.9268245383905,101.30145709302252,1292.0699607151073,318.189708654311,772.1703272912389,194.80273479138012,1227.3257211126197,1.0,61.59881298322026,0
4,0.06664441972562106,198.3035049018593,748.0799259653094,61.96086873152484,1063.1292415498572,382.3944655804458,1077.9503941118467,101.93305891405208,1294.1710746384042,318.3812613496586,774.3566945854607,196.79409458962851,1230.9676066179704,1.0,52.02649972705181,0
5,0.08330552465702633,197.2917460890091,748.310114806342,60.03563643967494,1063.8949988606798,383.6322829753153,1077.8168334321585,99.32771144308896,1292.745707497393,318.32703091290296,775.7814585119183,195.85560712434815,1235.7826184913552,1.0,59.67388821401562,0
6,0.09996662958843158,196.50694736580053,748.6147351794175,58.02787639215545,1064.9409427854634,384.9788467787209,1077.7206321182557,95.58570827052789,1290.7064650730338,317.7666994669911,776.391377901183,194.34351052592095,1240.9962212960154,1.0,72.54568512177225,0
7,0.11662773451983685,195.98771422896266,748.9869275186321,56.423199135986,1066.2872577845305,386.2112811807114,1077.7446636165364,92.76681227835007,1289.2038954296254,316.8165712015784,776.3258547661723,194.13957112757714,1245.167916686204,1.0,82.121913833894,0
8,0.13328883945124212,195.74966964047942,749.451041259903,55.40416690801497,1067.9427494954964,387.41922521296783,1077.866090525376,92.46333468010508,1288.78278630105,315.8143648234566,775.9065756811831,195.9683373552549,1247.2315812779623,1.0,88.13049288987773,0
9,0.1499499443826474,195.79638413118278,750.1043423144541,54.77780258079264,1069.874976698434,388.7990727826478,1078.0172057432942,95.26713933540871,1290.3904394504686,315.02891004480426,775.4921376105361,199.2381947605194,1247.233666220313,1.0,94.50166516932808,0
10,0.16661104931405266,196.201177485432,751.0457594811754,54.27764273529961,1071.9446313950896,390.46653038801213,1078.158768894364,100.3393789843171,1294.9463547706584,314.48253344232245,775.2998886891291,202.51351245509488,1246.1446559079116,1.0,102.56869734965898,0
11,0.18327215424545792,197.1021954304037,752.2393001942886,53.77728894425468,1073.8922588505588,392.37271316207506,1078.3049236363815,105.78184089429806,1302.0715120283262,314.0126064098857,775.3382401725852,204.49681943679735,1245.055432191693,1.0,109.15038947500406,0
12,0.19993325917686317,198.55865708166715,753.4622206623469,53.2777165285149,1075.4251580817343,394.3347824174122,1078.4894466437072,110.02842614212754,1309.6976899973931,313.48348822672165,775.4804310236833,204.94294511092392,1244.5230352813655,1.0,110.40270582544589,0
13,0.21659436410826843,200.4145928836202,754.4233506971278,52.89011117410745,1076.3574288459952,396.1576919362047,1078.7236702992773,113.12962013257236,1315.3001254283392,312.93640493401676,775.588418057154,204.79003469938965,1244.4705890764785,1.0,106.28023743000571,0
14,0.2332554690396737,202.34907541710413,754.9594325333202,52.926198413519074,1076.704754191143,397.769174818572,1078.9910981785245,116.47735862329343,1317.61265242107,312.54158928760114,775.5895558312108,205.353046058402,1244.4949554388531,1.0,100.828798121823,0
15,0.24991657397107897,204.09346070816062,755.1300698694304,53.88835491793502,1076.661936485409,399.2651533339574,1079.273946201532,121.1536675207509,1317.2241123489848,312.42455395236334,775.4845337713235,207.2535713766647,1244.2485014066035,1.0,98.4017852123026,0
16,0.26657767890248424,205.5904325008262,755.1357157752916,56.157595621559416,1076.4776681868568,400.82201339054825,1079.573682443992,126.69962701906258,1315.7827775910916,312.5606718196765,775.322024297564,210.01613271867384,1243.68875087989,1.0,99.78004676082497,0
17,0.2832387838338895,206.93094877153374,755.1548493607141,59.563443576036185,1076.32242187224,402.5360420532179,1079.902988611882,131.53297102992408,1314.8143162483084,312.82552785890744,775.1732126591703,212.60893101431944,1243.1274972562574,1.0,101.79806124553514,0
18,0.2998998887652948,208.17997645274346,755.2488535389226,63.28499426982559,1076.2374589074902,404.3254207323399,1080.2657967639366,134.3477268652664,1315.0738277404485,313.0901245697117,775.1077662228979,214.29131200699,1243.052876324684,1.0,100.53068606313877,0
19,0.31656099369670004,209.33086300891443,755.3835943900405,66.29154440217366,1076.1666874131997,405.99460790591496,1080.6562463661185,135.00756595648014,1316.5339032864952,313.23003219149695,775.1612524598801,214.96175875214107,1243.783639697338,1.0,94.94021748927332,0
20,0.3332220986281053,210.43598739359686,755.5004714395515,68.02539125298455,1076.0161437926554,407.4071062777015,1081.084402127915,134.32119288620063,1318.6800598211669,313.0968216510451,775.3080082569245,214.9014982384399,1245.1951549764851,1.0,87.76906300080724,0
21,0.3498832035595106,211.7086513534553,755.5607146064825,68.78993142688455,1075.7078145567232,408.59948403335113,1081.5956200482399,133.26345285174114,1320.865394964868,312.60010975078603,775.4723186683278,214.43757542626574,1246.7818133538453,1.0,83.11188919551802,0
22,0.36654430849091585,213.414993830602,755.5571248492029,69.52400668793759,1075.2296320402324,409.73684528353994,1082.2347229654924,132.44820762782356,1322.606270683459,311.88923792187546,775.5818750249593,213.90024968623885,1248.0227035634834,1.0,82.95242239234332,0
23,0.38320541342232106,215.64705153583014,755.5219255932146,71.1043102412847,1074.669260241305,410.97048616359126,1082.968189499388,132.10603815282485,1323.7339239063708,311.405349477706,775.6190122892525,213.7042937273272,1248.711344008265,1.0,85.58563180434881,0
24,0.39986651835372633,218.24404686567107,755.5226796513034,73.69969302085634,1074.1880868968512,412.332074961086,1083.6607749284153,132.2983355544971,1324.3772209570602,311.6348382775494,775.622525886928,214.22725450459657,1248.9878882451133,1.0,87.01947222286275,0
25,0.4165276232851316,220.97205162271223,755.6110767274915,76.70738795271447,1073.9139401713612,413.7369128851337,1084.1629211436332,133.05607846229233,1324.8385385353083,312.74179042126747,775.6418648502882,215.53999725768094,1249.1387419579685,1.0,83.9976070208634,0
