label,red_overall_straightness,red_nvp,red_n_stops,red_total_pause_time_s,red_peak_speed_px_s,red_time_to_peak_speed_s,hands_overall_straightness,hands_nvp,hands_n_stops,hands_total_pause_time_s,hands_peak_speed_px_s,hands_time_to_peak_speed_s
H,0.8988395779698951,1,1,0.6135443037974682,529.4616492405273,0.2984810126582278,0.909240438427574,1,2,0.7627848101265824,563.1735403416167,0.2155696202531645
S,0.4167872928002333,36,1,0.2665776789024843,216.468351995114,12.162606599925844,0.5029522118213402,33,5,1.5161605487578775,235.1403370170299,12.162606599925844
