frame,time,sh_x,sh_y,el_x,el_y,wr_x,wr_y,hip_x,hip_y,opp_sh_x,opp_sh_y,hands_used,wrist_forward_px,shoulder_elevation_px,mid_shoulder_x,trunk_x_displacement_px,shoulder_elevation_cm,trunk_x_displacement_cm,wrist_forward_cm,elbow_flexion_angle
0,0.0,177.80566056196452,749.0753350550914,64.80147642360699,1059.1488497768676,391.0024044635831,1086.997575146058,100.71354728854463,1245.1877884798294,336.3798129558563,780.0479507446289,1.0,-13.417654158432981,-6.806975831583486,257.0927367589104,5.207781191909987,-1.7368830618918552,1.3288290080740968,-3.4236784167755316,74.85575030110013
1,0.01658227848101266,176.62796011370395,747.3486428418466,64.32480776160232,1062.0736908873873,392.8284962100255,1085.0969982449667,107.51240885633693,1254.6736133052227,333.68602752685547,778.908519744873,1.0,-11.591562411990594,-5.08028361833874,255.1569938202797,3.272038253279277,-1.2962964442091394,0.8349005432947063,-2.957728793575757,74.37114651176049
2,0.03316455696202532,175.48074201584717,745.6662723295879,63.870386866235776,1064.5974569057087,394.95019294939823,1083.2502412488213,113.89845344948637,1262.9286877527993,333.44186067581177,778.472728729248,1.0,-9.469865672617857,-3.3979131060799546,254.46130134582947,2.576345778829051,-0.867019050126068,0.6573861073609536,-2.4163519442575745,73.93703578104763
3,0.04974683544303798,174.39759493444615,744.0636117079143,63.54174801645197,1066.3992573989772,397.56732510843125,1081.4937838433148,119.60919308236919,1269.0314514078432,333.15794348716736,778.5838508605957,1.0,-6.8527335135848375,-1.7952524844064328,253.77776921080675,1.8928136438063348,-0.45808060864811984,0.48297453062650914,-1.7485586935946773,73.60859293962969
4,0.06632911392405064,173.41386271743616,742.5612482371802,63.56412716952293,1067.301566340185,400.74589160029603,1079.8401830998284,124.63649504381374,1272.553769318293,329.8684501647949,778.2500839233398,1.0,-3.674167021720052,-0.2928890136722657,251.64115644111553,-0.24379912588489105,-0.07473421082255109,-0.06220832609523184,-0.9375086124116104,73.44054077427816
5,0.08291139240506329,172.56095293736334,741.1646550492947,64.26609237353473,1067.3010702275676,404.4362331665022,1078.2773920569555,129.22168351743855,1273.6160132102693,328.0510711669922,777.5194931030273,1.0,0.016174544486091236,1.1037041742132487,250.30601205217778,-1.5789435148226403,0.2816236068645453,-0.4028867318515908,0.004127132671950873,73.47918369959967
6,0.09949367088607595,171.85975720236723,739.870571627703,66.00167825515757,1066.5620708407923,408.54358788539076,1076.769485738251,133.75292509438069,1272.7948839418486,327.190500497818,776.8706703186035,1.0,4.123529263374678,2.397787595804857,249.5251288500926,-2.359826716907804,0.6118248050542929,-0.6021386229372806,1.0521688793927717,73.75293649624926
7,0.11607594936708861,171.3162933734625,738.6778814920262,69.03401798796962,1065.3751045755778,413.0112698924187,1075.2564774159832,138.6101371185359,1270.9245175449719,326.8197441101074,776.8772506713867,1.0,8.591211270402596,3.5904777314816556,249.06801874178495,-2.816936825215464,0.9161542673583524,-0.7187758527707282,2.1921525367345738,74.2611929792182
8,0.13265822784810127,170.92084965416956,737.5978338821623,73.42065586167887,1064.0904104142617,417.87224738270936,1073.6581686407424,144.02314410738308,1268.854718767884,327.08592653274536,779.4564056396484,1.0,13.452188760693275,4.670525341345638,249.00338809345746,-2.881567473542958,1.191741612755632,-0.7352671524516028,3.4324903425409747,74.96392616990293
9,0.14924050632911393,170.6507847664272,736.6575400122717,78.94938574584329,1063.040499789471,423.24293756140594,1071.8898028818555,149.99487252532148,1267.2338596117713,326.98331594467163,782.3549652099609,1.0,18.822878939389852,5.610819211236162,248.8170503555494,-3.0679052114510057,1.431669083665085,-0.7828135032498607,4.802887569274923,75.77896094711174
