frame,time,fps,frame_width_px,frame_height_px,tracked_x,tracked_y,marker_detected,marker_radius,marker_score,pose_wrist_x,pose_wrist_y
0,0.0,60.30534351145038,1920,1080,1103.0,726.0,1.0,20.61562728881836,0.6287060740365746,,
1,0.01658227848101266,60.30534351145038,1920,1080,1101.3095703125,723.2720947265625,1.0,20.74570655822754,0.6369893480297334,,
2,0.03316455696202532,60.30534351145038,1920,1080,1099.6658935546875,719.4999389648438,1.0,20.718448638916016,0.6213912223786101,,
3,0.04974683544303798,60.30534351145038,1920,1080,1097.6776123046875,715.3353881835938,1.0,20.718448638916016,0.6325902883835939,,
4,0.06632911392405064,60.30534351145038,1920,1080,1095.6337890625,710.8466796875,1.0,20.554903030395508,0.6407882772438664,,
5,0.08291139240506329,60.30534351145038,1920,1080,1093.5850830078125,706.2625122070312,1.0,20.718448638916016,0.6239206303394456,,
6,0.09949367088607595,60.30534351145038,1920,1080,1091.5445556640625,701.3367309570312,1.0,20.718448638916016,0.653842553435639,,
7,0.11607594936708861,60.30534351145038,1920,1080,1089.285888671875,695.62109375,1.0,20.74570655822754,0.6447420593824439,,
8,0.13265822784810127,60.30534351145038,1920,1080,1087.150634765625,690.181396484375,1.0,20.74570655822754,0.629822582248062,,
9,0.14924050632911393,60.30534351145038,1920,1080,1084.826904296875,683.9212036132812,1.0,21.049692153930664,0.6697681811119581,,
10,0.16582278481012658,60.30534351145038,1920,1080,1082.1328125,676.0767822265625,1.0,21.034103393554688,0.6797855939405567,,
11,0.18240506329113923,60.30534351145038,1920,1080,1079.6373291015625,669.087646484375,1.0,20.795774459838867,0.6772934365402824,,
12,0.1989873417721519,60.30534351145038,1920,1080,1077.0614013671875,661.766845703125,1.0,21.02984046936035,0.684356341366799,,
13,0.21556962025316456,60.30534351145038,1920,1080,1074.445556640625,653.50830078125,1.0,21.5089111328125,0.7026769311228982,,
14,0.23215189873417721,60.30534351145038,1920,1080,1072.1177978515625,645.8717651367188,1.0,21.37893295288086,0.6755039536769404,,
15,0.24873417721518987,60.30534351145038,1920,1080,1069.44140625,638.2025756835938,1.0,21.23672103881836,0.6871974640856818,,
16,0.26531645569620255,60.30534351145038,1920,1080,1066.748291015625,629.5130615234375,1.0,21.212818145751953,0.7222643268434628,,
17,0.28189873417721517,60.30534351145038,1920,1080,1064.6290283203125,621.6428833007812,1.0,21.031959533691406,0.722526705706023,,
18,0.29848101265822785,60.30534351145038,1920,1080,1062.40771484375,613.225830078125,1.0,21.66227912902832,0.7031254149736185,,
19,0.31506329113924053,60.30534351145038,1920,1080,1060.285888671875,604.266845703125,1.0,21.5089111328125,0.711209741458331,,
20,0.33164556962025316,60.30534351145038,1920,1080,1058.3441162109375,595.8984985351562,1.0,21.66227912902832,0.6855365625416824,,
21,0.34822784810126584,60.30534351145038,1920,1080,1056.3095703125,587.45263671875,1.0,21.667818069458008,0.7213442907837838,,
22,0.36481012658227846,60.30534351145038,1920,1080,1054.3382568359375,578.8990478515625,1.0,21.5089111328125,0.6999146870858072,,
23,0.38139240506329114,60.30534351145038,1920,1080,1052.4345703125,570.7850952148438,1.0,21.66227912902832,0.6912939777024277,,
