label,fps,n_frames,frames_with_marker,total_time_s,total_displacement_px,total_path_length_px,overall_straightness,nvp,n_stops,total_pause_time_s,peak_speed_px_s,time_to_peak_speed_s,n_submovements,mean_sparc,mean_ldj
H,60.30534351145038,158,158,2.6034177215189875,428.4307546053045,476.64874256310725,0.8988395779698951,1,1,0.6135443037974682,529.4616492405273,0.29848101265822785,1,-2.6947267929270127,-6.862720659681686
S,60.02002893067765,899,899,14.961672228401929,318.2264994341282,763.5225567845096,0.41678729280023336,36,1,0.2665776789024843,216.46835199511398,12.162606599925843,16,-8.741923042174998,-6.960529594576285
