frame,time,sh_x,sh_y,el_x,el_y,wr_x,wr_y,hip_x,hip_y,opp_sh_x,opp_sh_y,vis_sh,vis_el,vis_wr,vis_hip,wrist_forward_px,shoulder_elevation_px,mid_shoulder_x,trunk_x_displacement_px,shoulder_elevation_cm,trunk_x_displacement_cm,wrist_forward_cm,elbow_flexion_angle
37,0.6135443037974684,164.8722615148189,729.7817196248044,264.9991407969311,1034.9226626037446,646.7304823231345,1026.7686414053617,176.8435405942182,1247.8149713358132,301.2193036079407,773.4019088745117,0.9999802708625793,0.9890091419219971,0.9639343023300171,0.9999639391899109,232.34521743763167,12.486639598703505,233.04578256137978,-18.839173005620637,3.186118675243049,-4.80704519938054,59.28572139283245,106.94269382569205
38,0.6301265822784811,165.7925450266145,731.64540658715,275.0135931738018,1033.5836817445024,654.5125466656663,1025.2356778816734,179.9131774663358,1248.031724477626,301.20829582214355,773.3095550537109,0.9999802708625793,0.9890235662460327,0.9645095467567444,0.9999653100967407,240.1272817801634,10.622952636357923,233.50042042437903,-18.384535142621388,2.710576173307397,-4.691038793147361,61.27141020347593,108.62657399862024
39,0.6467088607594936,166.7234016962833,734.1487949377768,284.87908933956686,1032.5537328336056,661.9657942392323,1023.6628763675562,183.13172877502447,1248.0685637727593,300.24540424346924,773.1535148620605,0.9999803304672241,0.9890128970146179,0.9646984338760376,0.9999663233757019,247.58052935372945,8.119564285731144,233.48440296987627,-18.400552597124147,2.0718060452622153,-4.695125842390489,63.17319739751126,110.25080773714193
40,0.6632911392405063,167.51957140548845,737.1392790063353,294.02945139610875,1031.7723359149718,668.8698158240493,1022.1480167340942,186.17761784649284,1248.0169772430336,300.1271188259125,772.7621841430664,0.9999797344207764,0.9885671734809875,0.9638575911521912,0.9999674558639526,254.48455093854642,5.1290802171726,233.82334511570048,-18.06161045129994,1.3087474926760982,-4.608640612148913,64.9348428692001,111.76698274602462
41,0.679873417721519,168.03073779510086,740.3416848441815,302.0012207023992,1031.1097214684487,675.0790117017484,1020.7831458777073,188.74446726028955,1248.0035599335513,300.1586937904358,772.1614837646484,0.9999792575836182,0.9884079694747925,0.9642423391342163,0.999968409538269,260.69374681624555,1.926674379326414,234.09471579276834,-17.790239774232077,0.49161451105880993,-4.539397067856256,66.51919507123156,113.15223356388282
42,0.6964556962025317,168.1363905383695,743.4205604399963,308.54696858688374,1030.3887103333293,680.5800859546819,1019.6336231222109,190.63587071205325,1248.1481977860499,300.311096906662,771.2867546081543,0.9999787211418152,0.9880463480949402,0.9642871022224426,0.9999693036079407,266.194821069179,-1.152201216488379,234.22374372251574,-17.661211844484683,-0.2939982198150855,-4.5064740149126274,67.92286138774716,114.41613034255491
43,0.7130379746835444,167.77801832550236,746.0660682925673,313.69520774196604,1029.4298522422519,685.4975486549127,1018.7274237680266,191.81983053918242,1248.5307889298283,300.65211296081543,770.1171112060547,0.9999786615371704,0.9879997968673706,0.9649496078491211,0.9999706149101257,271.1122837694099,-3.7977090690593514,234.21506564315888,-17.669889923841538,-0.9690318754235718,-4.508688332903113,69.177612085096,115.59722589574787
44,0.7296202531645569,166.97815509808262,748.0716871334382,317.72855030816197,1028.1018869124532,690.043696719905,1018.0562077949442,192.41942280161723,1249.1802667260524,301.5603840351105,769.8473739624023,0.9999781250953674,0.9880197644233704,0.965469479560852,0.9999712109565735,275.65843183440217,-5.803327909930317,234.26926956659656,-17.615686000403855,-1.4807900305145374,-4.4948575394881916,70.33761731595057,116.74962850821994
45,0.7462025316455696,165.8398533117317,749.3765459035614,321.087060479329,1026.3574163621074,694.4373230117153,1017.5853920369343,192.6503893648902,1250.0862979608264,302.25651383399963,768.8147735595703,0.9999774694442749,0.9880321621894836,0.9666253924369812,0.9999710321426392,280.05205812621244,-7.10818668005345,234.04818357286567,-17.83677199413475,-1.8137406905524598,-4.551270332369137,71.45870475262402,117.92459929043788
46,0.7627848101265823,164.52500879880927,750.0617753663867,324.2392913956133,1024.2404832191346,698.8309140325629,1017.2678575440613,192.73959492836187,1251.21980179939,302.67802834510803,767.6545143127441,0.9999770522117615,0.9882407188415527,0.9680965542793274,0.9999716281890869,284.44564914706,-7.793416142878755,233.60151857195865,-18.283436995041768,-1.988585361216387,-4.665242365414366,72.57978318948032,119.15523197034074
47,0.779367088607595,163.21627063715977,750.3075211976534,327.5717170122847,1021.8645154543761,703.277952999247,1017.0560498308697,192.8593375843478,1252.5445247043597,303.8143730163574,766.9341087341309,0.9999766945838928,0.9883629679679871,0.9694239497184753,0.9999721050262451,288.8926881137441,-8.039161974145486,233.5153218267586,-18.369633740241824,-2.05129041297774,-4.687236518241167,73.71449952282887,120.45048129370818
48,0.7959493670886076,162.07406196919317,750.3281610147347,331.3259193080658,1019.3708967069939,707.74658626366,1016.9098020281316,193.09640828396115,1254.0117101086419,304.04186725616455,766.8718528747559,0.9999762773513794,0.9885522127151489,0.9707098007202148,0.9999719858169556,293.36132137815713,-8.059801791226846,233.05796461267886,-18.82699095432156,-2.05655691451618,-4.803936800131891,74.85472590511647,121.7989482519798
49,0.8125316455696202,161.2033374663487,750.3075770772225,335.58456057115893,1016.8852199182807,712.1633160835197,1016.7999287908304,193.45503853456648,1255.5448088844666,305.85992217063904,767.8048896789551,0.9999758005142212,0.9887745976448059,0.9718461036682129,0.9999720454216003,297.77805119801684,-8.039217853714604,233.53162981849385,-18.353325748506563,-2.0513046713326255,-4.683075334872919,75.9817084892874,123.17764688635316
50,0.8291139240506329,160.64048208141048,750.35479374676,340.2923350385502,1014.4869417260162,716.4634054929736,1016.7086763660997,193.88007896254467,1257.029879611839,307.6671302318573,768.1997108459473,0.9999751448631287,0.9890709519386292,0.9731124043464661,0.9999719262123108,302.07814060747074,-8.086434523252137,234.1538061566339,-17.731149410366527,-2.0633525815335365,-4.524319439455859,77.07892884744513,124.5603258250846
51,0.8456962025316456,160.36110716670703,750.4921243646966,345.2976289178972,1012.20033346302,720.6299256463467,1016.627890657545,194.28390680958793,1258.325382211756,307.6983833312988,768.4360885620117,0.9999750852584839,0.9894453287124634,0.9744150042533875,0.9999719262123108,306.24466076084383,-8.223765141188665,234.02974524900293,-17.85521031799749,-2.098394166824079,-4.555975096011498,78.1420673777521,125.92284952681298
52,0.8622784810126582,160.30138043912905,750.6750158188289,350.4041859703263,1010.0058664709786,724.7107454189361,1016.555633610368,194.56575373730064,1259.2944433851155,306.5744626522064,767.8958129882812,0.9999749660491943,0.9897916316986084,0.9756320714950562,0.9999719858169556,310.3254805334332,-8.40665659532101,233.43792154566773,-18.447034021332684,-2.145061156204787,-4.7069861457613085,79.18333840867848,127.24580876716311
53,0.8788607594936709,160.3841404978899,750.831204440037,355.42360823844786,1007.8654873903754,728.8078252718745,1016.4923898432373,194.6218717246567,1259.8488687583042,302.3281931877136,766.790657043457,0.9999745488166809,0.9901033043861389,0.9767695665359497,0.9999714493751526,314.4225603863717,-8.562845216529126,231.35616684280177,-20.528788724198648,-2.1849145914671704,-5.238171296389423,80.22875839779746,128.5150510814748
54,0.8954430379746835,160.5445219941761,750.9021433382683,360.2200743536998,1005.7521501167507,733.0395690470556,1016.4383263414898,194.35416935726334,1259.9852616995402,299.60981726646423,764.1904449462891,0.9999743700027466,0.9904215335845947,0.9780169725418091,0.9999711513519287,318.6543041615527,-8.633784114760374,230.07716963032016,-21.80778593668026,-2.203015518195224,-5.564523063977444,81.30853953221474,129.72060629485281
55,0.9120253164556962,160.75216876758708,750.8722633853164,364.7394763435121,1003.6722340251686,737.4877623379706,1016.392592348379,193.687431713866,1259.7955891709857,299.569616317749,763.6481094360352,0.99997478723526,0.9907734394073486,0.9793534874916077,0.9999714493751526,323.10249745246773,-8.603904161808487,230.16089254266805,-21.724063024332366,-2.1953912830787337,-5.543160139832099,82.44355040549618,130.85498270125214
56,0.9286075949367089,161.02573212417283,750.7781570019819,369.01515461878967,1001.6710042817516,742.150444087918,1016.3544862079992,192.59747036160317,1259.4460226065294,299.67180848121643,763.2125473022461,0.9999744892120361,0.9910752773284912,0.980544924736023,0.9999707341194153,327.76517920241514,-8.509797778473967,230.34877030269462,-21.5361852643058,-2.1713788894293784,-5.49522083357186,83.63329063006108,131.91214991422095
57,0.9451898734177215,161.43368991915037,750.697052722224,373.14344670251023,999.8182857349469,746.9224685996213,1016.3252805056244,191.13875360773312,1259.1317682183567,299.66237783432007,763.2302856445312,0.9999746680259705,0.9912976622581482,0.9815745949745178,0.9999709725379944,332.53720371411845,-8.428693498716143,230.54803387673522,-21.3369216902652,-2.1506841413880102,-5.444376297735945,84.85093099641186,132.88743428408637
58,0.9617721518987342,162.07818486302645,750.7201936419535,377.2303206309167,998.1813614261686,751.6151402375083,1016.3092681881387,189.45220311758735,1259.0243817897654,299.36323642730713,763.2657623291016,0.9999748468399048,0.9915032386779785,0.9825756549835205,0.9999709129333496,337.2298753520054,-8.451834418445628,230.72071064516678,-21.164244921833642,-2.1565888298295723,-5.400315710231079,86.04832350734871,133.77706132648393
59,0.9783544303797468,163.06562265816294,750.920916592698,381.32615500802115,996.798181725696,756.0107757311753,1016.3132133095437,187.7418946708592,1259.2277270199331,295.2292335033417,762.9048728942871,0.9999749064445496,0.9915265440940857,0.9832137227058411,0.999970555305481,341.6255108456724,-8.652557369190049,229.14742808075232,-22.737527486248098,-2.207805743464454,-5.80175798141152,87.16992361642751,134.5763428268261
60,0.9949367088607595,164.4745746638876,751.328735034631,385.379044858148,995.662323192125,759.9338578727159,1016.3443775798485,186.22881053444888,1259.7522105342182,292.4784457683563,762.216682434082,0.9999745488166809,0.9916338324546814,0.9839038848876953,0.9999693036079407,345.548592987213,-9.060375811123095,228.47651021612197,-23.408445350878452,-2.311865602298396,-5.972950872914124,88.1709459633024,135.27758483435497
61,1.0115189873417723,166.3328105397797,751.9190564208003,389.235318140204,994.724150396731,763.3128384542649,1016.4080346292774,185.10323563476723,1260.512161412291,286.0859799385071,761.3665008544922,0.9999725818634033,0.9917522072792053,0.984489917755127,0.9999642372131348,348.92757356876206,-9.650697197292402,226.2093952391434,-25.675560327857028,-2.4624933174656283,-6.551432962508882,89.03313414844669,135.8703946622379
62,1.0281012658227848,168.60922076172875,752.6226610057305,392.69609350060796,993.9057333699998,766.2088121694512,1016.5055507907723,184.49321971426227,1261.3503238674698,284.4751739501953,761.6370964050293,0.9999691843986511,0.9917876720428467,0.9849238395690918,0.9999566674232483,351.82354728394836,-10.354301782222592,226.54219735596203,-25.342758211038387,-2.642026625071101,-6.4665144356967215,89.77207722949198,136.34631356839301
63,1.0446835443037974,171.2171644577134,753.3504389156383,395.60957744674545,993.1233592031977,768.7985173612992,1016.6338000077792,184.45130923871943,1262.088355183873,284.2570459842682,761.755313873291,0.9999664425849915,0.9917005300521851,0.98526531457901,0.9999525547027588,354.41325247579636,-11.082079692130378,227.7371052209908,-24.14785034600962,-2.827728051932761,-6.161619092648761,90.43287215433128,136.7069499205361
64,1.0612658227848102,174.02163546992466,754.0213628361806,397.9566451006121,992.3105215679324,771.3157362180203,1016.7861501462042,184.95113729497604,1262.5886525086494,284.1776418685913,761.7720794677734,0.9999649524688721,0.9917392730712891,0.9857613444328308,0.9999498724937439,356.93047133251747,-11.753003612672728,229.09963866925798,-22.785316897742433,-2.998922488675311,-5.813952033721382,91.07517130500958,136.97194819724717
65,1.0778481012658228,176.84782360127753,754.5810010207042,399.88649054969704,991.4347549539536,773.9718259175628,1016.954684075872,185.88720862629265,1262.8016190633534,284.47330713272095,761.9950103759766,0.9999640583992004,0.9918200969696045,0.9863566160202026,0.9999481439590454,359.58656103205993,-12.312641797196306,230.66056536699924,-21.22439020000118,-3.1417210100064485,-5.41566251290625,91.75290504817868,137.18200733453568
66,1.0944303797468355,179.49732049150853,755.0053184437666,401.68133893600594,990.5034715655175,776.8857079591228,1017.1328190800002,187.0804146033521,1262.7774363812377,284.672509431839,761.9684600830078,0.9999638795852661,0.9918349385261536,0.9867691993713379,0.999948263168335,362.5004430736199,-12.736959220258655,232.08491496167375,-19.80004060532667,-3.2499907854863404,-5.052222308854992,92.49641765753064,137.39335686215495
67,1.1110126582278481,181.77968099382886,755.2945724912541,403.6614623701075,989.5575146699593,780.0504150717497,1017.3172009893148,188.29851401482384,1262.640687866349,284.86849308013916,761.9260025024414,0.9999634623527527,0.9919416904449463,0.9873104691505432,0.9999468922615051,365.6651501862469,-13.026213267746243,233.324087036984,-18.56086853001642,-3.3237974902690692,-4.736032411663148,93.30393134874522,137.66327849621356
68,1.1275949367088607,183.55721987532763,755.4673153296433,406.0682323374168,988.6556425794706,783.3478946934155,1017.5078484430547,189.29861077884718,1262.544169563673,285.0299084186554,761.9070625305176,0.9999626874923706,0.9919153451919556,0.9876291155815125,0.9999457597732544,368.9626298079126,-13.19895610613537,234.2935641469915,-17.591391420008904,-3.3678749363309572,-4.4886584804305745,94.14532356806686,138.03091424726978
