frame,time,NOSE_X,NOSE_Y,NOSE_Z,NOSE_v,LEFT_SHOULDER_X,LEFT_SHOULDER_Y,LEFT_SHOULDER_Z,LEFT_SHOULDER_v,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,RIGHT_SHOULDER_Z,RIGHT_SHOULDER_v,LEFT_ELBOW_X,LEFT_ELBOW_Y,LEFT_ELBOW_Z,LEFT_ELBOW_v,RIGHT_ELBOW_X,RIGHT_ELBOW_Y,RIGHT_ELBOW_Z,RIGHT_ELBOW_v,LEFT_WRIST_X,LEFT_WRIST_Y,LEFT_WRIST_Z,LEFT_WRIST_v,RIGHT_WRIST_X,RIGHT_WRIST_Y,RIGHT_WRIST_Z,RIGHT_WRIST_v,LEFT_HIP_X,LEFT_HIP_Y,LEFT_HIP_Z,LEFT_HIP_v,RIGHT_HIP_X,RIGHT_HIP_Y,RIGHT_HIP_Z,RIGHT_HIP_v,LEFT_INDEX_X,LEFT_INDEX_Y,LEFT_INDEX_Z,LEFT_INDEX_v,RIGHT_INDEX_X,RIGHT_INDEX_Y,RIGHT_INDEX_Z,RIGHT_INDEX_v
1,0.017233697853381937,0.04989317059516907,-0.4588005244731903,-0.20030373334884644,0.9999984502792358,0.10010635852813721,-0.3638193905353546,0.08229347318410873,0.9999970197677612,-0.16257107257843018,-0.4467466175556183,0.028477709740400314,0.9999939203262329,0.16010336577892303,-0.16691525280475616,0.06669914722442627,0.9284229874610901,-0.2932882010936737,-0.16959917545318604,-0.052118152379989624,0.9705153703689575,0.23719936609268188,-0.06198260188102722,-0.026349805295467377,0.9835832715034485,-0.2615708112716675,-0.11168244481086731,-0.20333261787891388,0.9809620976448059,0.07815554738044739,-0.010603297501802444,0.08172100782394409,0.9999761581420898,-0.07470853626728058,0.007433444261550903,-0.07910653948783875,0.9999728202819824,0.23655445873737335,-0.056171927601099014,-0.069117471575737,0.9826666116714478,-0.17121800780296326,-0.16762901842594147,-0.2892143428325653,0.9866624474525452
2,0.034467395706763874,0.05022023618221283,-0.4589511454105377,-0.21057653427124023,0.9999983310699463,0.09683433920145035,-0.36571353673934937,0.06899195164442062,0.9999969005584717,-0.16709911823272705,-0.44408729672431946,0.0058858213014900684,0.9999939799308777,0.1561654657125473,-0.16692303121089935,0.05041172727942467,0.9213762879371643,-0.2933040261268616,-0.16850215196609497,-0.08429316431283951,0.971061110496521,0.23438680171966553,-0.061599671840667725,-0.043740447610616684,0.9805595278739929,-0.260817289352417,-0.10751142352819443,-0.23874099552631378,0.9809912443161011,0.07815417647361755,-0.011946278624236584,0.08171165734529495,0.9999760985374451,-0.07471304386854172,0.008572179824113846,-0.07907143235206604,0.9999730587005615,0.2336348295211792,-0.055409837514162064,-0.08566014468669891,0.9799069166183472,-0.17116104066371918,-0.16412577033042908,-0.3218379616737366,0.9865531921386719
3,0.05170109356014581,0.05024448409676552,-0.45888590812683105,-0.215414360165596,0.9999979734420776,0.09590058773756027,-0.3668675422668457,0.06354822963476181,0.9999966621398926,-0.1719077080488205,-0.4430912733078003,-0.001703876070678234,0.9999939799308777,0.15463916957378387,-0.16691645979881287,0.048548486083745956,0.9179882407188416,-0.2909919023513794,-0.16745702922344208,-0.09626077860593796,0.9719241261482239,0.23419642448425293,-0.06102539226412773,-0.04267987608909607,0.9792228937149048,-0.2567019760608673,-0.1039060428738594,-0.25503984093666077,0.9815905094146729,0.07816160470247269,-0.01305399276316166,0.08157776296138763,0.9999763369560242,-0.07474818080663681,0.009492185898125172,-0.07885394990444183,0.999973475933075,0.2334047108888626,-0.05358421802520752,-0.08477164804935455,0.978652834892273,-0.1703738421201706,-0.16151826083660126,-0.33815881609916687,0.9868744611740112
4,0.06893479141352775,0.05044225603342056,-0.45813897252082825,-0.21860332787036896,0.9999977350234985,0.09500312805175781,-0.3668603003025055,0.06216951459646225,0.9999964237213135,-0.1756400465965271,-0.4401509761810303,-0.003973513841629028,0.9999939799308777,0.15467867255210876,-0.16655218601226807,0.049159616231918335,0.9147568941116333,-0.29074710607528687,-0.16263584792613983,-0.09640610218048096,0.9726302027702332,0.23725710809230804,-0.05753640457987785,-0.024592045694589615,0.9779145121574402,-0.2547152638435364,-0.09710223972797394,-0.2524801194667816,0.9820360541343689,0.07816469669342041,-0.013994754292070866,0.08155545592308044,0.9999766945838928,-0.07476547360420227,0.010310420766472816,-0.07878828793764114,0.9999740719795227,0.23771284520626068,-0.04826654493808746,-0.06204502284526825,0.977145791053772,-0.16981138288974762,-0.15800423920154572,-0.33463990688323975,0.9870287179946899
5,0.08616848926690969,0.0502273365855217,-0.4581757187843323,-0.21472075581550598,0.9999974370002747,0.09454017877578735,-0.3663370907306671,0.06376617401838303,0.9999961256980896,-0.17819909751415253,-0.4379611909389496,-0.003238753182813525,0.9999940395355225,0.15470844507217407,-0.16305790841579437,0.05520977824926376,0.9106587767601013,-0.290345162153244,-0.1577044129371643,-0.09198962897062302,0.9731543660163879,0.24017322063446045,-0.05066473409533501,-0.009008602239191532,0.9764750003814697,-0.25369787216186523,-0.08898264914751053,-0.24702797830104828,0.9826183319091797,0.07819663733243942,-0.014364299364387989,0.0811716839671135,0.9999774694442749,-0.07482558488845825,0.01060419250279665,-0.07826147228479385,0.9999751448631287,0.2418488711118698,-0.03987453505396843,-0.04538649693131447,0.9756870865821838,-0.1697365790605545,-0.1506604701280594,-0.3298589587211609,0.9873214960098267
6,0.10340218712029162,0.04939281940460205,-0.4580268859863281,-0.21560901403427124,0.9999972581863403,0.09282062947750092,-0.36580002307891846,0.06289960443973541,0.9999958276748657,-0.18362188339233398,-0.43576112389564514,-0.0016427894588559866,0.9999940991401672,0.15377692878246307,-0.1597680300474167,0.05500444024801254,0.9060234427452087,-0.29051920771598816,-0.15525150299072266,-0.09250747412443161,0.9736518263816833,0.24020138382911682,-0.04736562818288803,-0.010091764852404594,0.974114716053009,-0.2535175383090973,-0.08425432443618774,-0.2490750104188919,0.9828767776489258,0.0782405361533165,-0.015234366990625858,0.0804070234298706,0.9999780654907227,-0.07491080462932587,0.011380184441804886,-0.07731766253709793,0.9999760389328003,0.24207134544849396,-0.03660163655877113,-0.047118451446294785,0.9733963012695312,-0.16973544657230377,-0.14566701650619507,-0.33144325017929077,0.9873470664024353
7,0.12063588497367356,0.04920785874128342,-0.45695143938064575,-0.21196459233760834,0.999997079372406,0.0911790207028389,-0.3643876910209656,0.06751538068056107,0.9999954104423523,-0.18737919628620148,-0.43396881222724915,-0.0012869237689301372,0.9999942779541016,0.1527027040719986,-0.1572958528995514,0.05963463708758354,0.898523211479187,-0.29076141119003296,-0.1526104360818863,-0.09003673493862152,0.9749117493629456,0.23999729752540588,-0.045383062213659286,-0.004861282184720039,0.9713818430900574,-0.25332406163215637,-0.08044103533029556,-0.24786482751369476,0.9839715957641602,0.07828155159950256,-0.015558331273496151,0.08016306906938553,0.9999787211418152,-0.07499702274799347,0.011596817523241043,-0.07698959857225418,0.9999771118164062,0.2419208288192749,-0.03443067893385887,-0.04223121330142021,0.9710733890533447,-0.16976134479045868,-0.14237026870250702,-0.33082765340805054,0.9880958795547485
8,0.1378695828270555,0.04903791472315788,-0.45858559012413025,-0.2072615623474121,0.9999967217445374,0.08740274608135223,-0.3653954565525055,0.0725286677479744,0.999994695186615,-0.19067473709583282,-0.4341075122356415,-0.0010589732555672526,0.9999942779541016,0.1515195369720459,-0.15791955590248108,0.0701676607131958,0.8891324996948242,-0.29176846146583557,-0.15308545529842377,-0.08822868019342422,0.9758321046829224,0.24073007702827454,-0.04583146423101425,0.013897688128054142,0.968095064163208,-0.2537088096141815,-0.08188702166080475,-0.24635912477970123,0.984886109828949,0.07828251272439957,-0.015890516340732574,0.07996716350317001,0.9999788403511047,-0.0750051960349083,0.011867452412843704,-0.07672539353370667,0.9999776482582092,0.24372652173042297,-0.03515378013253212,-0.021824007853865623,0.9680896997451782,-0.17139403522014618,-0.14345595240592957,-0.3290078341960907,0.9887140393257141
9,0.15510328068043744,0.04802657291293144,-0.4585188329219818,-0.18952734768390656,0.9999967217445374,0.08757691085338593,-0.36091768741607666,0.08380525559186935,0.9999947547912598,-0.191547691822052,-0.43076175451278687,0.016550468280911446,0.9999945759773254,0.1515980362892151,-0.15048541128635406,0.07422494143247604,0.8885350823402405,-0.2916854918003082,-0.15053041279315948,-0.08092411607503891,0.9769318699836731,0.24072833359241486,-0.04106638953089714,0.010060904547572136,0.9682515263557434,-0.25373393297195435,-0.08075952529907227,-0.24553503096103668,0.985852062702179,0.07841075956821442,-0.01608145236968994,0.07939861714839935,0.9999799132347107,-0.07519716769456863,0.011998029425740242,-0.07604184001684189,0.9999789595603943,0.24361351132392883,-0.031145114451646805,-0.027131035923957825,0.9683126211166382,-0.17178095877170563,-0.1427355259656906,-0.32791396975517273,0.9893743991851807
10,0.17233697853381938,0.05226451903581619,-0.4587976336479187,-0.18893936276435852,0.999996542930603,0.08848445862531662,-0.3609594702720642,0.08631669729948044,0.9999945163726807,-0.19091200828552246,-0.4311017394065857,0.016625437885522842,0.9999945759773254,0.15182656049728394,-0.14948265254497528,0.07529404014348984,0.882876992225647,-0.28947168588638306,-0.15036822855472565,-0.08042413741350174,0.9771054983139038,0.24407388269901276,-0.04050919786095619,0.007663084659725428,0.9667534828186035,-0.2519884705543518,-0.08014442771673203,-0.2438671588897705,0.9860509037971497,0.0784703716635704,-0.016090478748083115,0.07942867279052734,0.9999804496765137,-0.07527150213718414,0.01199771836400032,-0.07606703788042068,0.9999796748161316,0.2485014796257019,-0.031140772625803947,-0.030268358066678047,0.9671356678009033,-0.17128951847553253,-0.14202715456485748,-0.3263905346393585,0.989475429058075
