frame,time,NOSE_X,NOSE_Y,NOSE_Z,NOSE_v,LEFT_SHOULDER_X,LEFT_SHOULDER_Y,LEFT_SHOULDER_Z,LEFT_SHOULDER_v,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,RIGHT_SHOULDER_Z,RIGHT_SHOULDER_v,LEFT_ELBOW_X,LEFT_ELBOW_Y,LEFT_ELBOW_Z,LEFT_ELBOW_v,RIGHT_ELBOW_X,RIGHT_ELBOW_Y,RIGHT_ELBOW_Z,RIGHT_ELBOW_v,LEFT_WRIST_X,LEFT_WRIST_Y,LEFT_WRIST_Z,LEFT_WRIST_v,RIGHT_WRIST_X,RIGHT_WRIST_Y,RIGHT_WRIST_Z,RIGHT_WRIST_v,LEFT_HIP_X,LEFT_HIP_Y,LEFT_HIP_Z,LEFT_HIP_v,RIGHT_HIP_X,RIGHT_HIP_Y,RIGHT_HIP_Z,RIGHT_HIP_v,LEFT_INDEX_X,LEFT_INDEX_Y,LEFT_INDEX_Z,LEFT_INDEX_v,RIGHT_INDEX_X,RIGHT_INDEX_Y,RIGHT_INDEX_Z,RIGHT_INDEX_v
1,0.01761760752688172,0.04989317059516907,-0.4588005244731903,-0.20030373334884644,0.9999984502792358,0.10010635852813721,-0.3638193905353546,0.08229347318410873,0.9999970197677612,-0.16257107257843018,-0.4467466175556183,0.028477709740400314,0.9999939203262329,0.16010336577892303,-0.16691525280475616,0.06669914722442627,0.9284229874610901,-0.2932882010936737,-0.16959917545318604,-0.052118152379989624,0.9705153703689575,0.23719936609268188,-0.06198260188102722,-0.026349805295467377,0.9835832715034485,-0.2615708112716675,-0.11168244481086731,-0.20333261787891388,0.9809620976448059,0.07815554738044739,-0.010603297501802444,0.08172100782394409,0.9999761581420898,-0.07470853626728058,0.007433444261550903,-0.07910653948783875,0.9999728202819824,0.23655445873737335,-0.056171927601099014,-0.069117471575737,0.9826666116714478,-0.17121800780296326,-0.16762901842594147,-0.2892143428325653,0.9866624474525452
2,0.03523521505376344,0.05023608356714249,-0.4589587152004242,-0.21090030670166016,0.9999983310699463,0.09670557081699371,-0.36579352617263794,0.06860053539276123,0.9999969005584717,-0.16726836562156677,-0.4439795911312103,0.005323916207998991,0.9999939799308777,0.1560148298740387,-0.16692346334457397,0.049960214644670486,0.9213762879371643,-0.2933048903942108,-0.16845321655273438,-0.0849919244647026,0.971061110496521,0.2342737317085266,-0.06158128008246422,-0.044212762266397476,0.9805595278739929,-0.2607826292514801,-0.10735335946083069,-0.23947961628437042,0.9809912443161011,0.07815409451723099,-0.012005076743662357,0.08171115070581436,0.9999760985374451,-0.07471329718828201,0.008622807450592518,-0.0790695771574974,0.9999730587005615,0.23351804912090302,-0.05537482351064682,-0.08611653745174408,0.9799069166183472,-0.1711580753326416,-0.16398930549621582,-0.3225424289703369,0.9865531921386719
3,0.052852822580645165,0.05025952309370041,-0.4588927626609802,-0.21560658514499664,0.9999979734420776,0.09579931944608688,-0.36692848801612854,0.06332569569349289,0.9999966621398926,-0.17200982570648193,-0.443007230758667,-0.00198166212067008,0.9999939799308777,0.15452760457992554,-0.1669168770313263,0.04825142025947571,0.9179882407188416,-0.29099205136299133,-0.16741988062858582,-0.0965486541390419,0.9719241261482239,0.23409613966941833,-0.061011023819446564,-0.04311242699623108,0.9792228937149048,-0.256682425737381,-0.10380462557077408,-0.25531208515167236,0.9815905094146729,0.07816153019666672,-0.013098604045808315,0.08157739043235779,0.9999763369560242,-0.07474838942289352,0.009531314484775066,-0.07885254919528961,0.999973475933075,0.23330219089984894,-0.053560372442007065,-0.08521769195795059,0.978652834892273,-0.17037200927734375,-0.16142533719539642,-0.33842289447784424,0.9868744611740112
4,0.07047043010752688,0.05046498402953148,-0.4581093192100525,-0.2188277691602707,0.9999977350234985,0.09488540142774582,-0.36691874265670776,0.061975300312042236,0.9999964237213135,-0.1758333295583725,-0.4399825632572174,-0.004194456618279219,0.9999939799308777,0.15457576513290405,-0.16653487086296082,0.048962581902742386,0.9147568941116333,-0.29073530435562134,-0.16243982315063477,-0.09656251221895218,0.9726302027702332,0.23731543123722076,-0.05739343538880348,-0.024239666759967804,0.9779145121574402,-0.2546232044696808,-0.09682795405387878,-0.2525634169578552,0.9820360541343689,0.07816479355096817,-0.014070183038711548,0.08155394345521927,0.9999766945838928,-0.07476659119129181,0.01037723757326603,-0.07878371328115463,0.9999740719795227,0.23781616985797882,-0.048064809292554855,-0.06160104274749756,0.977145791053772,-0.16978402435779572,-0.15781718492507935,-0.33470192551612854,0.9870287179946899
5,0.0880880376344086,0.050246551632881165,-0.4581475853919983,-0.21482977271080017,0.9999974370002747,0.09444436430931091,-0.36638468503952026,0.06366746872663498,0.9999961256980896,-0.17831768095493317,-0.4378490746021271,-0.0032737429719418287,0.9999940395355225,0.1546114981174469,-0.16304847598075867,0.05511106923222542,0.9106587767601013,-0.29033592343330383,-0.1575927585363388,-0.09224771708250046,0.9731543660163879,0.24021542072296143,-0.05059032514691353,-0.008825457654893398,0.9764750003814697,-0.25363078713417053,-0.08885394036769867,-0.2471856325864792,0.9826183319091797,0.07819671928882599,-0.014426788315176964,0.08117076009511948,0.9999774694442749,-0.07482651621103287,0.010660606436431408,-0.07825849205255508,0.9999751448631287,0.24191796779632568,-0.03977583348751068,-0.04517605900764465,0.9756870865821838,-0.1697116494178772,-0.1505707949399948,-0.3300141990184784,0.9873214960098267
6,0.10570564516129033,0.049406543374061584,-0.45800143480300903,-0.21568235754966736,0.9999972581863403,0.09275523573160172,-0.36583849787712097,0.06283559650182724,0.9999958276748657,-0.18367667496204376,-0.4356894791126251,-0.0016885078512132168,0.9999940991401672,0.15370240807533264,-0.15976372361183167,0.05492585524916649,0.9060234427452087,-0.2905115485191345,-0.15518252551555634,-0.09265965223312378,0.9736518263816833,0.240240678191185,-0.047323718667030334,-0.009943420067429543,0.974114716053009,-0.2534606158733368,-0.08419371396303177,-0.2491501420736313,0.9828767776489258,0.07824060320854187,-0.01528123952448368,0.08040674775838852,0.9999780654907227,-0.07491154223680496,0.011423135176301003,-0.07731631398200989,0.9999760389328003,0.24213093519210815,-0.036546871066093445,-0.04695584997534752,0.9733963012695312,-0.1697109341621399,-0.14562654495239258,-0.33152297139167786,0.9873470664024353
7,0.12332325268817204,0.049210075289011,-0.45688411593437195,-0.21181926131248474,0.999997079372406,0.09106925129890442,-0.36435166001319885,0.06771678477525711,0.9999954104423523,-0.18752549588680267,-0.43385401368141174,-0.0011916403891518712,0.9999942779541016,0.15260177850723267,-0.15719832479953766,0.05979202315211296,0.898523211479187,-0.29076752066612244,-0.1524757593870163,-0.09009725600481033,0.9749117493629456,0.24002324044704437,-0.04528515040874481,-0.004608740098774433,0.9713818430900574,-0.2532672584056854,-0.08029811829328537,-0.24788355827331543,0.9839715957641602,0.07828376442193985,-0.015611989423632622,0.08015112578868866,0.9999787211418152,-0.075002022087574,0.011643756181001663,-0.07697322219610214,0.9999771118164062,0.2419683337211609,-0.03432397171854973,-0.04199295490980148,0.9710733890533447,-0.1697395145893097,-0.1422448456287384,-0.3308629095554352,0.9880958795547485
8,0.14094086021505375,0.04903963953256607,-0.45853790640830994,-0.207125723361969,0.9999967217445374,0.0873441994190216,-0.36536553502082825,0.07271052151918411,0.999994695186615,-0.1907476931810379,-0.4340176284313202,-0.0009412573417648673,0.9999942779541016,0.15144731104373932,-0.15784361958503723,0.07027570903301239,0.8891324996948242,-0.2917737066745758,-0.15294931828975677,-0.08831892162561417,0.9758321046829224,0.24075232446193695,-0.0457213819026947,0.013988805003464222,0.968095064163208,-0.25366640090942383,-0.08175098150968552,-0.24639634788036346,0.984886109828949,0.07828470319509506,-0.015934135764837265,0.07995720952749252,0.9999788403511047,-0.07500997930765152,0.011906391009688377,-0.07671214640140533,0.9999776482582092,0.24376194179058075,-0.03505132347345352,-0.021749623119831085,0.9680896997451782,-0.17137889564037323,-0.14332552254199982,-0.3290681540966034,0.9887140393257141
9,0.1585584677419355,0.04802731052041054,-0.4584747850894928,-0.1894315928220749,0.9999967217445374,0.08752036839723587,-0.3608973026275635,0.08394133299589157,0.9999947547912598,-0.19159093499183655,-0.4307175576686859,0.016704924404621124,0.9999945759773254,0.1515234112739563,-0.15045265853405,0.0743042454123497,0.8885350823402405,-0.2916904091835022,-0.15045137703418732,-0.08085326105356216,0.9769318699836731,0.2407493144273758,-0.04101366922259331,0.010141911916434765,0.9682515263557434,-0.2536940276622772,-0.08067751675844193,-0.24573639035224915,0.985852062702179,0.07841257005929947,-0.016118260100483894,0.07939156144857407,0.9999799132347107,-0.07520100474357605,0.012031921185553074,-0.0760328397154808,0.9999789595603943,0.24364852905273438,-0.031098365783691406,-0.027046117931604385,0.9683126211166382,-0.1717686802148819,-0.1426481008529663,-0.32809826731681824,0.9893743991851807
10,0.1761760752688172,0.05242493376135826,-0.45877397060394287,-0.18884436786174774,0.999996542930603,0.08849615603685379,-0.36094197630882263,0.08652278035879135,0.9999945163726807,-0.19097162783145905,-0.43106839060783386,0.016795078292489052,0.9999945759773254,0.15177617967128754,-0.14942316710948944,0.0754002034664154,0.882876992225647,-0.28938430547714233,-0.1503003090620041,-0.0803590640425682,0.9771054983139038,0.24421802163124084,-0.040451690554618835,0.007642719894647598,0.9667534828186035,-0.25189435482025146,-0.08007018268108368,-0.24399638175964355,0.9860509037971497,0.07847505807876587,-0.016125978901982307,0.07942380756139755,0.9999804496765137,-0.07527865469455719,0.012030755169689655,-0.07606015354394913,0.9999796748161316,0.2486957162618637,-0.031105393543839455,-0.03030587173998356,0.9671356678009033,-0.17125658690929413,-0.14194248616695404,-0.3265232741832733,0.989475429058075
