frame,time,NOSE_X,NOSE_Y,NOSE_Z,NOSE_imgX,NOSE_imgY,LEFT_SHOULDER_X,LEFT_SHOULDER_Y,LEFT_SHOULDER_Z,LEFT_SHOULDER_imgX,LEFT_SHOULDER_imgY,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,RIGHT_SHOULDER_Z,RIGHT_SHOULDER_imgX,RIGHT_SHOULDER_imgY,LEFT_ELBOW_X,LEFT_ELBOW_Y,LEFT_ELBOW_Z,LEFT_ELBOW_imgX,LEFT_ELBOW_imgY,RIGHT_ELBOW_X,RIGHT_ELBOW_Y,RIGHT_ELBOW_Z,RIGHT_ELBOW_imgX,RIGHT_ELBOW_imgY,LEFT_WRIST_X,LEFT_WRIST_Y,LEFT_WRIST_Z,LEFT_WRIST_imgX,LEFT_WRIST_imgY,RIGHT_WRIST_X,RIGHT_WRIST_Y,RIGHT_WRIST_Z,RIGHT_WRIST_imgX,RIGHT_WRIST_imgY,LEFT_HIP_X,LEFT_HIP_Y,LEFT_HIP_Z,LEFT_HIP_imgX,LEFT_HIP_imgY,RIGHT_HIP_X,RIGHT_HIP_Y,RIGHT_HIP_Z,RIGHT_HIP_imgX,RIGHT_HIP_imgY,LEFT_INDEX_X,LEFT_INDEX_Y,LEFT_INDEX_Z,LEFT_INDEX_imgX,LEFT_INDEX_imgY,RIGHT_INDEX_X,RIGHT_INDEX_Y,RIGHT_INDEX_Z,RIGHT_INDEX_imgX,RIGHT_INDEX_imgY
1,0.01704275905118602,0.07502061128616333,-0.4327690303325653,-0.17338068783283234,0.5364319682121277,0.3401902914047241,0.10722608864307404,-0.3538632094860077,0.09073302894830704,0.5624239444732666,0.391537606716156,-0.14185291528701782,-0.44283270835876465,0.02440015785396099,0.32858842611312866,0.3803662061691284,0.1711929440498352,-0.1525382548570633,0.08568986505270004,0.5853613615036011,0.48765265941619873,-0.28222209215164185,-0.1724243015050888,-0.05111364275217056,0.1998448669910431,0.4731461703777313,0.28348308801651,-0.052816636860370636,0.011991932988166809,0.687013566493988,0.5275505781173706,-0.2721254825592041,-0.11820923537015915,-0.1956382840871811,0.23773153126239777,0.4971286356449127,0.0747784972190857,-0.0066285948269069195,0.0852450579404831,0.5178055763244629,0.547310471534729,-0.07120725512504578,0.0036257323808968067,-0.08269266784191132,0.39328712224960327,0.5539399981498718,0.302263081073761,-0.05758722871541977,-0.02580343373119831,0.73662269115448,0.5341489911079407,-0.18654438853263855,-0.17281368374824524,-0.28146442770957947,0.27475544810295105,0.4985978901386261
2,0.03408551810237204,0.0723881721496582,-0.43077796697616577,-0.22663897275924683,0.5363145470619202,0.34018251299858093,0.09948128461837769,-0.35414889454841614,0.0572710856795311,0.5606403350830078,0.39134180545806885,-0.15238116681575775,-0.43813684582710266,-0.018815573304891586,0.3286091089248657,0.38055625557899475,0.1635296642780304,-0.1541978418827057,0.06144129857420921,0.5853968858718872,0.4865949749946594,-0.28497737646102905,-0.17007988691329956,-0.10979688167572021,0.19951212406158447,0.47367188334465027,0.27642178535461426,-0.05260298773646355,-0.008779924362897873,0.6847032904624939,0.5268362164497375,-0.2711455225944519,-0.11489162594079971,-0.2639673948287964,0.23858362436294556,0.49615055322647095,0.07476399838924408,-0.008310009725391865,0.08524256944656372,0.5218456387519836,0.5454164743423462,-0.0712062269449234,0.005105066113173962,-0.08266247063875198,0.3982735872268677,0.5532177090644836,0.29204586148262024,-0.05407154560089111,-0.047406960278749466,0.7349916696548462,0.5335911512374878,-0.18531014025211334,-0.1718968152999878,-0.348368376493454,0.27681034803390503,0.49846211075782776
3,0.051128277153558055,0.06882109493017197,-0.4306870996952057,-0.23071041703224182,0.5363118648529053,0.3401704728603363,0.09568025916814804,-0.35531163215637207,0.048769786953926086,0.559050977230072,0.3912692070007324,-0.16808107495307922,-0.4359833896160126,-0.022080864757299423,0.32837578654289246,0.38070863485336304,0.1637241542339325,-0.15524251759052277,0.04408877342939377,0.5891797542572021,0.48659664392471313,-0.2874004542827606,-0.16847942769527435,-0.12084250897169113,0.19982360303401947,0.4740798771381378,0.2725384831428528,-0.052562542259693146,-0.031508609652519226,0.6838619709014893,0.5252719521522522,-0.27002954483032227,-0.11153806746006012,-0.2808191180229187,0.24022570252418518,0.49556809663772583,0.07479605078697205,-0.011321031488478184,0.08470668643712997,0.52829909324646,0.5431773066520691,-0.07128752022981644,0.007708587683737278,-0.08189988881349564,0.4067103862762451,0.5519394278526306,0.27922606468200684,-0.05231861397624016,-0.07134311646223068,0.7339563369750977,0.5333908200263977,-0.1852332204580307,-0.1711767315864563,-0.364960640668869,0.2792801558971405,0.49845555424690247
4,0.06817103620474407,0.06603416800498962,-0.43333086371421814,-0.21672624349594116,0.5363204479217529,0.3396783471107483,0.09236331284046173,-0.3567933142185211,0.0674087181687355,0.558102548122406,0.39123186469078064,-0.17815947532653809,-0.43603718280792236,-0.008659252896904945,0.3283314108848572,0.380743145942688,0.1644512265920639,-0.15749654173851013,0.06109181046485901,0.5897262692451477,0.48660507798194885,-0.28991711139678955,-0.16844965517520905,-0.1138966828584671,0.199814110994339,0.4741678237915039,0.2726138234138489,-0.05263175070285797,-0.010076598264276981,0.6824356913566589,0.5237621665000916,-0.2700461149215698,-0.10971609503030777,-0.26643067598342896,0.240891695022583,0.4943980574607849,0.07481535524129868,-0.012295792810618877,0.08447565883398056,0.5331317782402039,0.5427893400192261,-0.07132615149021149,0.0084737753495574,-0.08158817142248154,0.4139328598976135,0.5510381460189819,0.2771558165550232,-0.05045558512210846,-0.04989240691065788,0.7309530377388,0.5332862734794617,-0.18663233518600464,-0.1700923889875412,-0.35337182879447937,0.2816831171512604,0.498288094997406
5,0.08521379525593009,0.06308271735906601,-0.43354061245918274,-0.17098528146743774,0.5363562107086182,0.3396737277507782,0.08392827212810516,-0.35712119936943054,0.10212527215480804,0.5565261244773865,0.3912162184715271,-0.19062311947345734,-0.43503937125205994,0.019899573177099228,0.3279655873775482,0.3809491693973541,0.16458415985107422,-0.15910492837429047,0.09271002560853958,0.5908985137939453,0.4865511953830719,-0.297529011964798,-0.16706198453903198,-0.1010972410440445,0.19938772916793823,0.47470131516456604,0.27105215191841125,-0.052673693746328354,0.01952342502772808,0.6808444261550903,0.522781252861023,-0.2720431685447693,-0.10603126138448715,-0.2621687054634094,0.2428802251815796,0.49412935972213745,0.07484880089759827,-0.013041211292147636,0.08409007638692856,0.5374657511711121,0.5418328046798706,-0.07138361781835556,0.009011072106659412,-0.08109038323163986,0.419019877910614,0.550274670124054,0.27244409918785095,-0.048631101846694946,-0.020330648869276047,0.725421667098999,0.533164381980896,-0.19064053893089294,-0.16750755906105042,-0.35272273421287537,0.2827363908290863,0.4982699453830719
6,0.10225655430711611,0.06296472251415253,-0.4404333531856537,-0.12420999258756638,0.5378327369689941,0.3386317193508148,0.0793575569987297,-0.3582290709018707,0.13966043293476105,0.5564598441123962,0.3915392756462097,-0.19415923953056335,-0.4362133741378784,0.05318290740251541,0.3275436460971832,0.38099756836891174,0.1630362868309021,-0.15906573832035065,0.1298239380121231,0.5904375314712524,0.48778703808784485,-0.30034154653549194,-0.16732174158096313,-0.07084787636995316,0.19924771785736084,0.4750038683414459,0.2710568904876709,-0.05272987112402916,0.06073664501309395,0.679820716381073,0.5225570797920227,-0.2734930217266083,-0.10631538182497025,-0.2538779079914093,0.2442597895860672,0.49362751841545105,0.07491688430309296,-0.013104020617902279,0.08364735543727875,0.5398687720298767,0.5421353578567505,-0.071497842669487,0.009014301002025604,-0.08055145293474197,0.4210476279258728,0.5500179529190063,0.27412888407707214,-0.04853491857647896,0.02270686998963356,0.7244693040847778,0.533037006855011,-0.1941080391407013,-0.168143168091774,-0.3416098356246948,0.2844941020011902,0.4978601038455963
7,0.11929931335830213,0.06143346428871155,-0.44116973876953125,-0.12595586478710175,0.5381801128387451,0.3386368453502655,0.0751156136393547,-0.36012139916419983,0.13935546576976776,0.5557809472084045,0.39158427715301514,-0.20085509121418,-0.43630561232566833,0.05533209070563316,0.3270375430583954,0.38127151131629944,0.1617906093597412,-0.16010276973247528,0.13303814828395844,0.5904877781867981,0.4879210591316223,-0.30670878291130066,-0.1673571616411209,-0.06560604274272919,0.19911734759807587,0.47531142830848694,0.2711406946182251,-0.05284179747104645,0.06537998467683792,0.6793670654296875,0.5218937397003174,-0.2755820155143738,-0.1061604917049408,-0.24893125891685486,0.24517488479614258,0.4931877553462982,0.07509922981262207,-0.013583592139184475,0.08323837071657181,0.5428754091262817,0.5421318411827087,-0.07174357771873474,0.00935019738972187,-0.08004999905824661,0.42435646057128906,0.5498569011688232,0.2750876545906067,-0.0481833778321743,0.027279017493128777,0.7244988679885864,0.5329009294509888,-0.1968112587928772,-0.16815243661403656,-0.3368450105190277,0.2858089804649353,0.4973621070384979
8,0.13634207240948815,0.05706741660833359,-0.4410282373428345,-0.13036800920963287,0.538181483745575,0.3387255072593689,0.07252199202775955,-0.36010047793388367,0.14100420475006104,0.5558294653892517,0.3916349411010742,-0.20473438501358032,-0.436375230550766,0.058054059743881226,0.32689914107322693,0.38141974806785583,0.15882471203804016,-0.16047774255275726,0.1378631740808487,0.5904417037963867,0.48821040987968445,-0.31395068764686584,-0.1673915982246399,-0.05705161765217781,0.1987728774547577,0.4753497838973999,0.2691965401172638,-0.05271616950631142,0.07530795782804489,0.6790586113929749,0.521928071975708,-0.27665114402770996,-0.10482815653085709,-0.23754963278770447,0.24712996184825897,0.49321553111076355,0.07513833045959473,-0.013741578906774521,0.08297213166952133,0.5458082556724548,0.5421125888824463,-0.0718158707022667,0.009435978718101978,-0.07974045723676682,0.42604634165763855,0.5494592189788818,0.2736441195011139,-0.04631277546286583,0.03807632997632027,0.7245502471923828,0.5329052209854126,-0.19729402661323547,-0.16754648089408875,-0.3232031762599945,0.2886996865272522,0.497412770986557
9,0.15338483146067416,0.054130543023347855,-0.44086816906929016,-0.13491204380989075,0.538128674030304,0.3387303650379181,0.07345277816057205,-0.3590778112411499,0.13483816385269165,0.555819034576416,0.39184051752090454,-0.20493027567863464,-0.43602463603019714,0.054895736277103424,0.3266235589981079,0.38177695870399475,0.1590653359889984,-0.15949738025665283,0.1318771094083786,0.5904587507247925,0.488590270280838,-0.31367653608322144,-0.16653648018836975,-0.05709049850702286,0.19840189814567566,0.4755118787288666,0.26875099539756775,-0.05182458087801933,0.06880192458629608,0.6789824962615967,0.5216818451881409,-0.27661195397377014,-0.10233335196971893,-0.234823077917099,0.24827830493450165,0.4932156503200531,0.07519661635160446,-0.01405581645667553,0.08257175981998444,0.5461572408676147,0.5412731170654297,-0.07190969586372375,0.009669392369687557,-0.07924583554267883,0.4263516962528229,0.5487943887710571,0.27251455187797546,-0.044255055487155914,0.03261331468820572,0.7245435118675232,0.5328637361526489,-0.19709022343158722,-0.1659511923789978,-0.3201350271701813,0.29001951217651367,0.49743640422821045
10,0.17042759051186018,0.05000689998269081,-0.44215479493141174,-0.12179213017225266,0.5380233526229858,0.3384731411933899,0.0718076229095459,-0.35895735025405884,0.14928022027015686,0.5555882453918457,0.3919125199317932,-0.2068939357995987,-0.4361281991004944,0.06840591132640839,0.3265988528728485,0.38180530071258545,0.15915818512439728,-0.15945570170879364,0.1372876912355423,0.5906742811203003,0.48859071731567383,-0.3152769207954407,-0.16669775545597076,-0.049207620322704315,0.19840027391910553,0.47551700472831726,0.2689696252346039,-0.05144636705517769,0.06666845083236694,0.6790285110473633,0.5214653015136719,-0.2771216630935669,-0.1020759716629982,-0.2312655746936798,0.2491726279258728,0.493144154548645,0.07529392838478088,-0.014082581736147404,0.08217758685350418,0.5468310713768005,0.5413531064987183,-0.07203703373670578,0.009675184264779091,-0.07877703756093979,0.42659685015678406,0.5483623743057251,0.2733677625656128,-0.041715506464242935,0.02848093770444393,0.7244440913200378,0.5328382253646851,-0.1971711814403534,-0.1649351418018341,-0.3154793679714203,0.2918621003627777,0.4976000189781189
11,0.1874703495630462,0.048212211579084396,-0.442789226770401,-0.1089038997888565,0.5383923053741455,0.3383231461048126,0.06954172253608704,-0.35895368456840515,0.15971986949443817,0.5555446743965149,0.3918887972831726,-0.20940673351287842,-0.436159610748291,0.08092273026704788,0.3260650336742401,0.381892591714859,0.15853959321975708,-0.159721240401268,0.14766395092010498,0.5909132957458496,0.48857906460762024,-0.3162464201450348,-0.1667245477437973,-0.037370286881923676,0.19814163446426392,0.47586774826049805,0.2687341272830963,-0.05142897740006447,0.07813698053359985,0.6790695190429688,0.5214242339134216,-0.27989834547042847,-0.10231485962867737,-0.2225346565246582,0.24911130964756012,0.49307647347450256,0.07541845738887787,-0.014080798253417015,0.08158010244369507,0.5471349358558655,0.5413955450057983,-0.0721985474228859,0.009662416763603687,-0.07812744379043579,0.42740771174430847,0.5484074950218201,0.27344465255737305,-0.04115453362464905,0.03983860835433006,0.7245761752128601,0.5328409671783447,-0.20149293541908264,-0.16564476490020752,-0.3068108856678009,0.291488915681839,0.49720606207847595
12,0.20451310861423222,0.04434659704566002,-0.4426509439945221,-0.11082527041435242,0.5383163094520569,0.3383243978023529,0.06745971739292145,-0.358937531709671,0.1547500044107437,0.5554182529449463,0.39189639687538147,-0.21314992010593414,-0.4358433187007904,0.07664979249238968,0.3260476589202881,0.38193029165267944,0.15554118156433105,-0.15968836843967438,0.14572672545909882,0.5908884406089783,0.4885891377925873,-0.3215727210044861,-0.16675099730491638,-0.03933387249708176,0.19808998703956604,0.47585904598236084,0.26424384117126465,-0.05087333172559738,0.07692691683769226,0.6782470941543579,0.5212961435317993,-0.2805817127227783,-0.10036404430866241,-0.22239819169044495,0.2503568232059479,0.49303433299064636,0.07545547187328339,-0.0145028755068779,0.08121005445718765,0.5504545569419861,0.5406627058982849,-0.07225434482097626,0.0100178187713027,-0.07768150418996811,0.4302571415901184,0.5478237867355347,0.2676543593406677,-0.03950642794370651,0.036900583654642105,0.7219477891921997,0.5325311422348022,-0.20130863785743713,-0.162528395652771,-0.3064219653606415,0.2932696044445038,0.4972376227378845
