frame,time,NOSE_X,NOSE_Y,NOSE_Z,NOSE_imgX,NOSE_imgY,LEFT_SHOULDER_X,LEFT_SHOULDER_Y,LEFT_SHOULDER_Z,LEFT_SHOULDER_imgX,LEFT_SHOULDER_imgY,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,RIGHT_SHOULDER_Z,RIGHT_SHOULDER_imgX,RIGHT_SHOULDER_imgY,LEFT_ELBOW_X,LEFT_ELBOW_Y,LEFT_ELBOW_Z,LEFT_ELBOW_imgX,LEFT_ELBOW_imgY,RIGHT_ELBOW_X,RIGHT_ELBOW_Y,RIGHT_ELBOW_Z,RIGHT_ELBOW_imgX,RIGHT_ELBOW_imgY,LEFT_WRIST_X,LEFT_WRIST_Y,LEFT_WRIST_Z,LEFT_WRIST_imgX,LEFT_WRIST_imgY,RIGHT_WRIST_X,RIGHT_WRIST_Y,RIGHT_WRIST_Z,RIGHT_WRIST_imgX,RIGHT_WRIST_imgY,LEFT_HIP_X,LEFT_HIP_Y,LEFT_HIP_Z,LEFT_HIP_imgX,LEFT_HIP_imgY,RIGHT_HIP_X,RIGHT_HIP_Y,RIGHT_HIP_Z,RIGHT_HIP_imgX,RIGHT_HIP_imgY,LEFT_INDEX_X,LEFT_INDEX_Y,LEFT_INDEX_Z,LEFT_INDEX_imgX,LEFT_INDEX_imgY,RIGHT_INDEX_X,RIGHT_INDEX_Y,RIGHT_INDEX_Z,RIGHT_INDEX_imgX,RIGHT_INDEX_imgY
1,0.01761760752688172,0.0525493398308754,-0.4617309868335724,-0.20108458399772644,0.53681480884552,0.33039361238479614,0.09977798163890839,-0.3690212368965149,0.08425464481115341,0.5745965838432312,0.3888126611709595,-0.1626005470752716,-0.4482347369194031,0.027654584497213364,0.3387451469898224,0.3830561935901642,0.16085819900035858,-0.17468427121639252,0.07317235320806503,0.5922949910163879,0.4829729199409485,-0.29557526111602783,-0.17217819392681122,-0.04798492044210434,0.21772098541259766,0.47571074962615967,0.2384043037891388,-0.06801339238882065,-0.014794185757637024,0.6648117303848267,0.5226456522941589,-0.2644460201263428,-0.11521261185407639,-0.19121582806110382,0.26574641466140747,0.5002071261405945,0.07783179730176926,-0.01088518463075161,0.0833720862865448,0.5392276048660278,0.5460165143013,-0.07429371774196625,0.007820842787623405,-0.08087797462940216,0.4150058627128601,0.5536583662033081,0.2377387434244156,-0.060716643929481506,-0.056066107004880905,0.7062312960624695,0.5325865149497986,-0.17375792562961578,-0.1715165227651596,-0.2754092216491699,0.30191123485565186,0.5043631196022034
2,0.03523521505376344,0.05451038479804993,-0.4615132212638855,-0.2012234330177307,0.5381554365158081,0.3303738236427307,0.09585347026586533,-0.3694853186607361,0.08268007636070251,0.5725850462913513,0.38889971375465393,-0.16672758758068085,-0.4455541670322418,0.01724471151828766,0.3390066921710968,0.38233649730682373,0.15716901421546936,-0.17388781905174255,0.07202131301164627,0.5922454595565796,0.4829723536968231,-0.29548272490501404,-0.17147761583328247,-0.07218111306428909,0.21782690286636353,0.47630637884140015,0.2371455878019333,-0.0653533861041069,-0.015234498307108879,0.664683997631073,0.5225890874862671,-0.2624610364437103,-0.11037120968103409,-0.22805489599704742,0.26793479919433594,0.49963030219078064,0.07789263129234314,-0.011602669022977352,0.08334031701087952,0.5411176085472107,0.5450854897499084,-0.07440367341041565,0.008321152068674564,-0.08079846948385239,0.41792765259742737,0.5522558093070984,0.23669545352458954,-0.058026667684316635,-0.056293848901987076,0.7054028511047363,0.5324081778526306,-0.17303527891635895,-0.16715356707572937,-0.3115207552909851,0.30475515127182007,0.5037657022476196
3,0.052852822580645165,0.05450401455163956,-0.459625780582428,-0.20705147087574005,0.5382274985313416,0.33019760251045227,0.09466856718063354,-0.369010329246521,0.07452987134456635,0.5711184740066528,0.388944149017334,-0.17100177705287933,-0.4419955909252167,0.007425875868648291,0.33900412917137146,0.38148054480552673,0.15549492835998535,-0.1686306893825531,0.06897218525409698,0.592242956161499,0.4838157594203949,-0.2927820384502411,-0.1666528731584549,-0.08733206987380981,0.21797211468219757,0.476854532957077,0.23715344071388245,-0.05539208650588989,-0.014513876289129257,0.6646822094917297,0.5227330327033997,-0.2577967345714569,-0.10037016123533249,-0.24772308766841888,0.2690933346748352,0.49926048517227173,0.07788662612438202,-0.012686005793511868,0.08297077566385269,0.5445325970649719,0.54265958070755,-0.07441139221191406,0.009188633412122726,-0.08025673031806946,0.42194828391075134,0.5490974187850952,0.23685607314109802,-0.04623912647366524,-0.054891251027584076,0.705360472202301,0.5326949954032898,-0.17182403802871704,-0.15906500816345215,-0.3311033248901367,0.3072468340396881,0.5037513971328735
4,0.07047043010752688,0.05464073270559311,-0.4583558142185211,-0.20858946442604065,0.5382238030433655,0.3298364281654358,0.0947253629565239,-0.36733540892601013,0.0740213394165039,0.5698967576026917,0.38939031958580017,-0.17224745452404022,-0.4370097219944,0.00684511661529541,0.3389242887496948,0.38109225034713745,0.15554048120975494,-0.1633509248495102,0.06797180324792862,0.5922464728355408,0.484679251909256,-0.28816843032836914,-0.15755198895931244,-0.08712482452392578,0.2179858386516571,0.47740018367767334,0.23877108097076416,-0.05120773985981941,-0.014005457051098347,0.6652089357376099,0.522415280342102,-0.25177526473999023,-0.09016313403844833,-0.24300098419189453,0.2720949947834015,0.4993553161621094,0.0778905376791954,-0.013466729782521725,0.08280574530363083,0.5445180535316467,0.5416625738143921,-0.07443306595087051,0.009812732227146626,-0.08000741899013519,0.4232892096042633,0.5467144846916199,0.23943403363227844,-0.04232698678970337,-0.05375712364912033,0.7053395509719849,0.532253623008728,-0.1689928025007248,-0.15219053626060486,-0.32537344098091125,0.31104564666748047,0.5038123726844788
5,0.0880880376344086,0.05495719611644745,-0.45776790380477905,-0.21130622923374176,0.5382198691368103,0.32921844720840454,0.09621575474739075,-0.36645951867103577,0.07280775159597397,0.5699102282524109,0.38975992798805237,-0.17214177548885345,-0.4363420605659485,0.005908571183681488,0.33828675746917725,0.3807300627231598,0.1558864414691925,-0.15875791013240814,0.06733053922653198,0.5921144485473633,0.48605749011039734,-0.2851589322090149,-0.15487509965896606,-0.085206039249897,0.21794793009757996,0.47793683409690857,0.24239423871040344,-0.04902654513716698,-0.012030678801238537,0.6654425859451294,0.5223749876022339,-0.24620415270328522,-0.08774853497743607,-0.2382793128490448,0.2738964855670929,0.4993754029273987,0.0779179185628891,-0.01377252209931612,0.08260362595319748,0.5444654226303101,0.541617751121521,-0.07449087500572205,0.010050736367702484,-0.07976103574037552,0.4232500493526459,0.5461863279342651,0.24525009095668793,-0.041382335126399994,-0.05051451176404953,0.705612301826477,0.5322646498680115,-0.164585679769516,-0.15143141150474548,-0.3204818665981293,0.3132898211479187,0.5036957263946533
6,0.10570564516129033,0.05495063215494156,-0.45721635222435,-0.20505623519420624,0.538243293762207,0.3290271461009979,0.09423721581697464,-0.3664548397064209,0.07753721624612808,0.5671058297157288,0.3897645175457001,-0.1736871302127838,-0.43620067834854126,0.006276961416006088,0.3382513225078583,0.3802277743816376,0.1539650857448578,-0.15930481255054474,0.0762912929058075,0.5912292003631592,0.4860288202762604,-0.2853287160396576,-0.15453889966011047,-0.08268105238676071,0.2178860902786255,0.4788232743740082,0.24217331409454346,-0.04874826967716217,0.006591132376343012,0.6652340888977051,0.5223434567451477,-0.24640610814094543,-0.08706910163164139,-0.23489892482757568,0.27426350116729736,0.4992721378803253,0.07788383960723877,-0.014000155963003635,0.08256316184997559,0.5446634292602539,0.5416688323020935,-0.07447361201047897,0.010217350907623768,-0.07968951761722565,0.42352718114852905,0.5462382435798645,0.24508914351463318,-0.03971496969461441,-0.030904805287718773,0.7052187323570251,0.53226637840271,-0.16439519822597504,-0.15018720924854279,-0.3169941008090973,0.3136618733406067,0.5035287141799927
7,0.12332325268817204,0.053517427295446396,-0.4575313925743103,-0.2021205574274063,0.5382182002067566,0.3283064663410187,0.0922689288854599,-0.36538490653038025,0.07886965572834015,0.5662811398506165,0.3899616301059723,-0.1769976019859314,-0.43490156531333923,0.00788462907075882,0.338252454996109,0.3799634575843811,0.1534956395626068,-0.15800197422504425,0.07929693162441254,0.5910691618919373,0.48626992106437683,-0.2855256497859955,-0.15315398573875427,-0.08070862293243408,0.2178773581981659,0.4788617491722107,0.24309249222278595,-0.04379810392856598,0.017513595521450043,0.6657175421714783,0.5223608613014221,-0.24699446558952332,-0.08363426476716995,-0.23265744745731354,0.2743115723133087,0.4990190863609314,0.07788363099098206,-0.014326093718409538,0.08236048370599747,0.5462990403175354,0.5412434935569763,-0.07447868585586548,0.010483937337994576,-0.07938588410615921,0.4261283874511719,0.5451353192329407,0.24674919247627258,-0.03254055976867676,-0.01902979426085949,0.7057329416275024,0.5325736403465271,-0.1649961769580841,-0.1451905369758606,-0.3144407570362091,0.3136727213859558,0.5035256743431091
8,0.14094086021505375,0.053370483219623566,-0.45754122734069824,-0.20077168941497803,0.5383469462394714,0.32831230759620667,0.09173581749200821,-0.3645855486392975,0.08045714348554611,0.5660224556922913,0.3900260925292969,-0.17973364889621735,-0.4336993098258972,0.008613059297204018,0.33822882175445557,0.3799380660057068,0.15308614075183868,-0.1573924422264099,0.08109280467033386,0.5901721715927124,0.4866676330566406,-0.28564518690109253,-0.15228505432605743,-0.07988795638084412,0.21786709129810333,0.4789833128452301,0.24349230527877808,-0.04359646514058113,0.020491603761911392,0.6657196283340454,0.5221269130706787,-0.24748210608959198,-0.08260966092348099,-0.2341524064540863,0.27445194125175476,0.4988822340965271,0.07790610939264297,-0.014673983678221703,0.08191592991352081,0.5466795563697815,0.540980875492096,-0.07453323155641556,0.010750950314104557,-0.07880868762731552,0.42723217606544495,0.5447413325309753,0.24762777984142303,-0.03230250999331474,-0.016037289053201675,0.7057856321334839,0.5322170257568359,-0.16533446311950684,-0.14449016749858856,-0.3159109055995941,0.3148142397403717,0.5035320520401001
9,0.1585584677419355,0.05336947366595268,-0.4567372798919678,-0.1991111934185028,0.5384153723716736,0.3283177316188812,0.09159504622220993,-0.3625708222389221,0.08334865421056747,0.5660048127174377,0.39026978611946106,-0.18077459931373596,-0.4327774941921234,0.01002831943333149,0.338175505399704,0.3798120319843292,0.15316255390644073,-0.1550622284412384,0.08537270128726959,0.5895239114761353,0.48758238554000854,-0.2856895327568054,-0.15156342089176178,-0.07904593646526337,0.21788708865642548,0.4790186583995819,0.2458256632089615,-0.04208850488066673,0.028751173987984657,0.6660093665122986,0.5221132040023804,-0.24756473302841187,-0.08134481310844421,-0.23488707840442657,0.2744986414909363,0.49855169653892517,0.07790347933769226,-0.014797416515648365,0.0816948339343071,0.5466340780258179,0.5407733917236328,-0.07453982532024384,0.01082557626068592,-0.07852048426866531,0.4274035096168518,0.5437940359115601,0.2510632872581482,-0.0313364714384079,-0.007621375843882561,0.7058939337730408,0.5322156548500061,-0.16544099152088165,-0.1432415246963501,-0.3169192671775818,0.315736323595047,0.5036524534225464
10,0.1761760752688172,0.05447519198060036,-0.4559052288532257,-0.20325997471809387,0.5391517281532288,0.3283097445964813,0.09166253358125687,-0.36261802911758423,0.07946137338876724,0.5660032033920288,0.3902990520000458,-0.18091847002506256,-0.4322197735309601,0.005981155671179295,0.33781003952026367,0.3798060715198517,0.15310098230838776,-0.15523536503314972,0.08043351024389267,0.5892952680587769,0.4880037307739258,-0.28550323843955994,-0.1499134749174118,-0.08845485001802444,0.2177828550338745,0.4795352518558502,0.2457394301891327,-0.04282303899526596,0.024277327582240105,0.6660138368606567,0.5219959020614624,-0.24611526727676392,-0.0812481939792633,-0.24698340892791748,0.2757408320903778,0.49862736463546753,0.07790908962488174,-0.015314457938075066,0.08166202157735825,0.5465719103813171,0.5404891967773438,-0.07456152886152267,0.011297420598566532,-0.07846599072217941,0.4272031784057617,0.5437725782394409,0.25080376863479614,-0.03241182491183281,-0.010768149048089981,0.7059059143066406,0.532161295413971,-0.16422869265079498,-0.143971785902977,-0.32883942127227783,0.31661710143089294,0.50364750623703
