frame,time,sh_x,sh_y,el_x,el_y,wr_x,wr_y,hip_x,hip_y,opp_sh_x,opp_sh_y,hands_used,wrist_forward_px,shoulder_elevation_px,mid_shoulder_x,trunk_x_displacement_px,shoulder_elevation_cm,trunk_x_displacement_cm,wrist_forward_cm,elbow_flexion_angle
0,0.0,205.76174460617952,746.8423408543237,70.45994138403532,1061.2034569744912,388.3339316560493,1075.2619397043184,71.50477358137101,1236.5764025961369,320.04055738449097,762.7836227416992,1.0,3.0615483547681492,1.4734627048048878,262.90115099533523,4.577876208928842,0.4964159388982995,1.542306234833763,1.0314488422806896,69.24518299464712
1,0.016661104931405265,203.63062575878033,747.1915453633945,68.02192401140832,1061.5302140269307,385.99760103825906,1076.1900092238884,82.03400245393068,1256.3434575376848,318.1395900249481,766.1562538146973,1.0,0.7252177369779247,1.1242581957340008,260.8851078918642,2.561833105457822,0.378767434003906,0.8630926199893135,0.2443289827653073,69.30383907336915
2,0.03332220986281053,201.6190539906228,747.5095715598611,65.68298023377871,1061.9051108663496,384.0717899035056,1076.9907416075896,90.93083748776283,1273.3761836126882,318.19247245788574,769.5792388916016,1.0,-1.200593397775549,0.8062319992674247,259.90576322425426,1.5824884378478714,0.2716230370684467,0.5331471784852388,-0.4044850927331538,69.33036998586986
3,0.04998331479421579,199.82417888179322,747.781507773567,63.51343799364492,1062.3840278648286,382.8625206635372,1077.5757176831128,97.02151576905247,1285.7362002973134,318.4360921382904,772.0212936401367,1.0,-2.409862637743913,0.5342957855615396,259.1301355100418,0.8068607236353955,0.18000655406752059,0.2718348570191089,-0.8118931141117599,69.29746915757036
4,0.06664441972562106,198.3101408502872,748.0195052433993,61.550913570025436,1063.032357928059,382.50435277804127,1077.9166918571184,99.92311073972479,1292.7652357133002,318.3928656578064,774.2221069335938,1.0,-2.7680305232398723,0.2962983157292456,258.3515032540468,0.02822846764041742,0.09982418022327558,0.00951029247071011,-0.932561419174316,69.18768655385705
5,0.08330552465702633,197.11099867717533,748.263312736076,59.80498537276836,1063.9153500657133,382.9558958832829,1078.0452936928245,100.08621834251989,1295.1279950746316,318.44706773757935,775.7649421691895,1.0,-2.316487417998246,0.052490823052494306,257.7790332073773,-0.5442415790290624,0.017684384629605473,-0.18335733477351931,-0.7804345999405321,68.99505342798088
6,0.09996662958843158,196.24374224326607,748.5709658831399,58.265560413732445,1065.080077357249,384.0490349275995,1078.0341334950976,98.58147043670333,1294.4564688745802,317.9928195476532,776.6598129272461,1.0,-1.223348373681631,-0.25516232401139405,257.11828089545963,-1.2049938909467528,-0.08596528723294775,-0.4059676378576929,-0.41215134223657895,68.72284856913893
7,0.11662773451983685,195.72265176748957,749.0024954196465,56.90855762826582,1066.5352034013206,385.5632944034817,1077.9691943758398,96.72738745051697,1292.7683166081777,316.567987203598,776.4946174621582,1.0,0.29091110220053906,-0.6866918605179535,256.1453194855438,-2.1779553008626067,-0.23134944886031514,-0.7337625323196798,0.09800920475550316,68.37928134592846
8,0.13328883945124212,195.56751144855784,749.6009793554629,55.70453820846417,1068.236067092377,387.29369060814014,1077.9244374578007,95.69864146991956,1291.8645812260256,315.6776440143585,775.5179214477539,1.0,2.0213073068590006,-1.2851757963343289,255.6225777314582,-2.7006970549481935,-0.4329812675314069,-0.9098764833613537,0.6809871476653852,67.9748055600801
9,0.1499499443826474,195.80173101075152,750.3758114024146,54.63702427863909,1070.0818434480727,389.0917211509148,1077.9464561219197,96.24231693005844,1292.876605002479,314.9860203266144,775.462646484375,1.0,3.819337849633655,-2.06000784328603,255.39387566868294,-2.929399117723449,-0.6940255252664222,-0.9869271944857929,1.2867513907294748,67.52341456339217
10,0.16661104931405266,196.4402395362074,751.2933257373659,53.72660283073785,1071.9287018496047,390.8753381952356,1078.0513460084542,98.57543313472037,1296.0638822070357,314.4687831401825,775.3867149353027,1.0,5.602954893954461,-2.9775221782373364,255.45451133819495,-2.868763448211439,-1.0031400610821175,-0.9664987759629656,1.8876596640126913,67.04670895865182
