frame,time,sh_x,sh_y,el_x,el_y,wr_x,wr_y,hip_x,hip_y,opp_sh_x,opp_sh_y,opp_hip_x,opp_hip_y,hands_used,speed_px_s,nvp_marker
39,0.6467088607594936,166.47513196025142,733.1701242329974,284.675893196181,1031.8133017666196,643.2949410774818,1021.6707926674965,182.9321575603385,1248.3349837928422,300.18888905937206,772.9192344825748,277.54850403830864,1212.86207702791,1.0,398.1152951161049,0
40,0.6632911392405063,167.51128751052883,736.5738970866215,294.7739322841664,1031.125179752336,649.7878095252843,1021.1419539046055,187.36553109223962,1247.698692330836,300.11834585072035,772.6172210962112,279.62699853828417,1210.1048074200967,1.0,379.61182444895405,0
41,0.679873417721519,168.22119511177073,740.5083310690075,303.57608162708436,1030.9294236692303,655.9523684357476,1021.0140247527925,190.5222773541922,1247.2398678979375,300.19458733204596,772.130218816167,281.9416644513753,1206.778997938675,1.0,358.856224456098,0
42,0.6964556962025317,168.45233375169994,744.1737482949749,310.0361405389898,1030.7463283752725,661.7433501218198,1021.0794570209628,191.8907498572676,1247.4213509336125,300.4485385339361,771.4196965621957,284.21519033805555,1203.897043190851,1.0,340.3338735359256,0
43,0.7130379746835444,168.14313550993376,746.958058941945,314.09070038486783,1030.0928474571326,667.2190354650652,1021.0158799065072,191.90621169889383,1248.3479240534382,300.9012652950556,770.5458920632584,286.32110115025364,1202.1549769365154,1.0,328.43394576239075,0
44,0.7296202531645569,167.26714008414416,748.6959011342763,316.84138196609626,1028.7104401878787,672.5368556130281,1020.6351072816292,191.5046997199883,1249.6807208301082,301.45900115195246,769.5633831346644,288.1729469012137,1201.4928448202643,1.0,324.9629824592953,0
45,0.7462025316455696,165.89045795754717,749.5652607055782,319.68258399023415,1026.6345902589599,677.8789537067414,1020.0217010594364,191.4417973889399,1250.9170656788785,302.0033032998992,768.534416664016,289.6454095213368,1201.3556889869003,1.0,327.5307388802622,0
46,0.7627848101265823,164.27019356009268,749.8480453057285,323.29539638636794,1024.1232871050381,683.3376497021153,1019.4348812976626,191.9344363841191,1251.8000041888436,302.57726100888067,767.6219194966151,290.6944621722631,1201.32246904155,1.0,330.14377807343857,0
47,0.779367088607595,162.79951188620652,749.8194829690646,327.48511236858656,1021.495957554341,688.8444696535942,1019.072508247681,192.77270758682252,1252.485698452456,303.42697915581385,767.090904867392,291.5210314368687,1201.4156647261884,1.0,325.98441028813494,0
48,0.7959493670886076,161.76967463096406,749.7493391326371,331.79044827432375,1018.9655392153649,694.2000179615256,1018.924231087078,193.6224873526153,1253.3643469472981,304.7563397072761,767.136720143994,292.47028084280083,1201.878951265176,1.0,310.95543193651645,0
49,0.8125316455696202,161.17555807524573,749.852348090761,336.04458079636,1016.580005106954,699.1846056218167,1018.8298026004691,194.2167249594351,1254.7357639917027,306.3536226983164,767.669481827057,293.6641651594336,1202.8106699379641,1.0,286.0778306346132,0
50,0.8291139240506329,160.7925766696089,750.1828612376554,340.4001245647334,1014.3111300237679,703.6738870845195,1018.6466671256479,194.41093306052045,1256.5708106203513,307.4820845454816,768.2685333874622,294.77056083069715,1204.0364552922927,1.0,257.426945043627,0
51,0.8456962025316456,160.45608088426508,750.6183939943762,345.05336848504817,1012.1637599111863,707.69418739267,1018.3628186714445,194.23505679745958,1258.4795284099625,307.29101329887914,768.3914092734386,295.25388417983714,1205.2136347011578,1.0,233.505086386402,0
52,0.8622784810126582,160.23252467575807,750.9799708894247,350.0722257839288,1010.1553201444912,711.4023058091416,1018.0910252290643,193.93654508594852,1259.9151326955152,305.51574148430734,767.7138880116244,294.92261161322745,1205.982443189679,1.0,221.1641990715395,0
53,0.8788607594936709,160.29466408692926,751.1664533361615,355.3744964037776,1008.2104886192936,715.0108962430176,1017.9819742348691,193.85088840475305,1260.5111194176936,302.8478503634155,766.3610960194296,294.20309751682606,1206.0943593432437,1.0,221.98284224891654,0
54,0.8954430379746835,160.65920852436264,751.181910720172,360.7015208435884,1006.1633390515501,718.7025378055321,1018.1191564904433,194.06785968025184,1260.317892524297,300.5433087031925,764.8426075539252,293.8082329368975,1205.5321197666406,1.0,231.06205170797446,0
55,0.9120253164556962,161.10197382914032,751.0717779837336,365.62810777270386,1003.9227874591644,722.5718698351392,1018.456005721399,194.18745140433617,1259.7469735588302,299.5070003298065,763.712810449308,294.0939486325912,1204.5554876357594,1.0,239.28375122129492,0
56,0.9286075949367089,161.36375379517577,750.8681173557787,369.77858661303765,1001.6150886192112,726.5886269394456,1018.8358012656768,193.53306981680618,1259.2501275549578,299.59495508299904,763.2059885544836,294.73490889116437,1203.5572007305934,1.0,238.26576348611349,0
57,0.9451898734177215,161.4470794403437,750.6097085006683,373.16355876824457,999.5160024552264,730.5751087450742,1019.0822820701617,191.76055827760496,1258.998488237615,299.70347262243956,763.1298145981366,295.0342875794554,1202.785468913534,1.0,225.3823819352204,0
58,0.9617721518987342,161.705254297417,750.4096580686487,376.28806512818625,997.8344572030584,734.2667802478572,1019.1077791674575,189.27950810254757,1258.882139787949,298.56512683669166,763.0815453627125,294.54115434525994,1202.2116786624179,1.0,205.65419012910058,0
59,0.9783544303797468,162.60601219992506,750.4718419876806,379.84141808077754,996.5773775407216,737.4985623907565,1018.9786441034041,186.9940278198319,1258.8509285839084,295.6491719117104,762.7838260917661,293.3770890867186,1201.7099392482246,1.0,188.88864437537057,0
60,0.9949367088607595,164.34626752538597,750.9798212665773,384.18246835719833,995.6086942504778,740.3840693686793,1018.8855561753694,185.58875469123984,1259.1634203673796,291.5319302171018,762.2652833926401,292.03680252897647,1201.3108539801765,1.0,183.51488788355198,0
61,1.0115189873417723,166.66749348150674,751.9183923969284,389.03419773869064,994.7908372194994,743.2813910289426,1019.0158870081202,185.07871809612067,1260.1330377866748,287.5057048651006,761.7722633956397,290.95655785566356,1201.171018408327,1.0,191.06096400015952,0
62,1.0281012658227848,169.08215039265386,753.0113394630341,393.64008597919576,994.0446191339801,746.5261105969124,1019.4197510885353,185.00996578874404,1261.6158140402567,284.7430667667704,761.5309702510577,290.2659155335285,1201.3051317482648,1.0,205.13217159317384,0
63,1.0446835443037974,171.32197929770453,753.8850441484071,397.2546378588391,993.306367146569,750.161267642531,1019.9932155764892,184.99886166411372,1262.9266036320146,283.64540904083793,761.5795526477759,289.85081056265324,1201.4863665196683,1.0,215.7523893255061,0
64,1.0612658227848102,173.5549012786866,754.3351477769575,399.56050225240176,992.4906075812468,753.9126565066475,1020.5963261309229,185.0486700418399,1263.3977414782614,283.8059361117827,761.7837553098336,289.56743441838637,1201.4900227889304,1.0,216.05219970876587,0
65,1.0778481012658228,176.13131596306624,754.4554049839719,400.7362408599236,991.5338651462773,757.42635909907,1021.1824773516244,185.42730818665027,1262.99553150033,284.46845248794864,761.9691457275951,289.3979511465851,1201.3718835636375,1.0,206.53563981968327,0
66,1.0944303797468355,179.11449983233433,754.5269909140216,401.30713636888566,990.46781631112,760.5535628923317,1021.8055756287577,186.33253867945,1262.3306440545389,285.01118785821444,762.0342174927237,289.44227988117404,1201.4225166851495,1.0,194.00857022352574,0
67,1.1110126582278481,182.07951496693866,754.7887985337335,402.03840202606625,989.4189296255083,763.4446434858017,1022.5049412475365,187.68414963166921,1262.0759584616117,285.1398585465815,761.9804583841084,289.7507746062006,1201.8556491520358,1.0,186.2557835491956,0
68,1.1275949367088607,184.3827014429634,755.2797102509672,403.81064778772475,988.5176080983156,766.3892535608533,1023.1972005941388,189.17200450986547,1262.3951613521197,284.8405128522758,761.8882454723172,290.0999815219269,1202.6035338883146,1.0,186.53600294488172,0
69,1.1441772151898735,185.6283167777077,755.8432045302183,407.233023992171,987.8074205232869,769.5589212463447,1023.7043557539293,190.42579866374825,1262.9157180617792,284.2673110061711,761.8859295788676,289.89304224827237,1203.4510551091987,1.0,191.74146040473,0
70,1.160759493670886,185.91150638980864,756.2583501176581,412.12721329934163,987.2419820333853,772.8866323340592,1023.9137265454427,191.11408115112536,1263.2218420646425,283.60324306000757,762.1170893910682,288.34594737890075,1204.3468153699346,1.0,195.12049288892692,0
71,1.1773417721518988,185.7069198530645,756.4066852571677,417.4297140097052,986.7588200774704,776.1667175542655,1023.9114517397193,190.96929865248964,1263.343932495266,282.8757281677614,762.6811349282019,284.9537199009203,1205.5007614770698,1.0,191.22445588801423,0
72,1.1939240506329114,185.58855569535424,756.3872831811443,421.79259686733326,986.3469166033154,779.2334526077802,1023.9335265636043,189.91951331462408,1263.726341245359,281.8632365846634,763.5528833149953,280.00131429995974,1207.05588136152,1.0,179.51688319433438,0
73,1.210506329113924,185.98278690920668,756.519366327364,424.4793244582659,986.0474947565473,782.0371696464275,1024.172363699716,188.3649269416258,1264.688091158264,280.2747157799383,764.547261957593,274.7360999759546,1208.6098760013924,1.0,164.42961898234114,0
74,1.2270886075949368,187.01937415201863,757.215326344926,425.8753598686703,985.8988259862563,784.6049502222583,1024.637198046178,187.26607152035118,1265.9498433996603,278.0984523703709,765.4012041373201,270.90051498700143,1209.1915462064358,1.0,152.27312372467796,0
75,1.2436708860759493,188.49870836498428,758.7590503156249,427.25285427620963,985.8719777856708,787.0039043337035,1025.1931734633615,187.682944958444,1266.7539865571837,275.754826694243,765.9487564005606,269.74785604742993,1207.948743075175,1.0,147.3466250150989,0
